call_id,timestamp,call_category,tenant_tier,asset_type,location,issue_type,issue_severity,business_impact,safety_concern,is_recurring,transcript
IP-202601-00035,2026-01-14 07:53:23,tenant support,Premium,Office,Logistics Cluster North,persistent water leakage damaging office equipment,high,high,False,False,"yes, we've had persistent water leakage damaging office equipment since we moved in three months ago. we had to move desks away from the leak logistics cluster north, office. our staff can't work properly because of this. i expect this to be resolved quickly."
IP-202601-00038,2026-01-06 02:58:23,tenant support,Premium,Warehouse,Zone B – SME Offices,slow internet connectivity in common areas,medium,medium,False,True,"hi, i'm calling again about an ongoing issue that hasn't been resolved. we're paying good money and this is what we get. we are experiencing slow internet connectivity in common areas. pages take forever to load we're located in zone b – sme offices, warehouse unit. this was reported last week but nothing has been done. nobody seems to be taking this seriously. please make sure this actually gets done this time."
IP-202512-00039,2025-12-24 05:49:23,tenant support,VIP,Office,Logistics Cluster South,thermostat not responding to temperature adjustments,medium,high,False,True,"good morning. i'm calling from our office in logistics cluster south. i wanted to give you some background first. for over a week, we started noticing thermostat not responding to temperature adjustments. we'd like someone to recalibrate it we're very disappointed with the response time. and this isn't the first time. we've called about this before. please make sure this actually gets done this time."
IP-202601-00040,2026-01-02 05:43:23,tenant support,Standard,Warehouse,Tech Block,request to adjust the shared hallway temperature,low,low,False,False,"hi, i need to report a problem with our unit. we are dealing with request to adjust the shared hallway temperature. it's been happening for three days now. we're in tech block, the warehouse. a few tenants have mentioned it in passing that's reassuring, thank you."
IP-202601-00041,2026-01-19 03:52:23,tenant support,Standard,Office,Zone B – SME Offices,access control system failure locking employees out,high,medium,False,False,"good morning. i'm calling from our office in zone b – sme offices. we've been dealing with something and i need your help. since the beginning of the month, we started noticing access control system failure locking employees out. this is completely unacceptable for a business park this is seriously impacting our business operations. wonderful, we'll wait for the update."
IP-202601-00042,2026-01-18 04:31:23,tenant support,VIP,Office,Zone B – SME Offices,internet and phone lines down for the entire office,high,high,False,False,"yes, we've had internet and phone lines down for the entire office for the past two days. we've missed client calls and deadlines zone b – sme offices, office. we're losing money every day this goes unresolved. thank you for your quick response."
IP-202511-00043,2025-11-25 02:19:23,tenant support,VIP,Retail Store,Tech Block,window blinds broken and cannot be adjusted,medium,high,False,True,"good morning. i'm calling from our retail store in tech block. so here's what happened. for three days now, we started noticing window blinds broken and cannot be adjusted. it's uncomfortable working in direct sunlight all day this is outrageous, we've been ignored for weeks. and this isn't the first time. we've called about this before. i expect this to be resolved quickly."
IP-202601-00046,2026-01-08 02:18:23,tenant support,Premium,Retail Store,Retail Plaza Central,parking gate malfunctioning intermittently,medium,high,False,False,"hello, i need to report an issue. we are experiencing parking gate malfunctioning intermittently. sometimes it works, sometimes it doesn't we're located in retail plaza central, retail store unit. that's reassuring, thank you."
IP-202601-00047,2026-01-27 02:40:23,tenant support,VIP,Office,Tech Block,access control system failure locking employees out,high,high,False,False,"hello, i need to report something that's been bothering us. we are experiencing access control system failure locking employees out. staff are locked out of the building we're located in tech block, office unit. this is affecting our ability to serve our clients. we appreciate the fast turnaround."
IP-202512-00048,2025-12-18 05:08:23,tenant support,Standard,Retail Store,Zone B – SME Offices,window blinds broken and cannot be adjusted,medium,medium,False,True,"yes, we've had window blinds broken and cannot be adjusted since last monday. it's uncomfortable working in direct sunlight all day i reported this before and nothing was done about it. nobody seems to be taking this seriously. zone b – sme offices, retail store. i expect this to be resolved quickly."
IP-202511-00049,2025-11-25 09:04:23,tenant support,Standard,Warehouse,Zone A – Corporate Offices,air conditioning not cooling properly,medium,medium,False,False,"hi, i need to report a problem with our unit. we are dealing with air conditioning not cooling properly. it's been happening since we moved in three months ago. we're in zone a – corporate offices, the warehouse. it's warmer than it should be in here thanks for being so responsive."
IP-202601-00050,2026-01-10 10:51:23,tenant support,Standard,Warehouse,Zone A – Corporate Offices,thermostat not responding to temperature adjustments,medium,medium,False,False,"hi, i need to report a problem with our unit. we are dealing with thermostat not responding to temperature adjustments. it's been happening since yesterday. we're in zone a – corporate offices, the warehouse. the display seems frozen on one temperature i appreciate the help, really."
IP-202602-00051,2026-02-17 06:28:23,tenant support,VIP,Retail Store,Zone B – SME Offices,elevator breakdown in multi-story unit,high,high,False,False,"hi, i need to report a problem with our unit. we are dealing with elevator breakdown in multi-story unit. it's been happening for over a week. we're in zone b – sme offices, the retail store. we have employees with mobility concerns our staff can't work properly because of this. that's reassuring, thank you."
IP-202601-00052,2026-01-03 09:20:23,tenant support,VIP,Warehouse,Logistics Cluster South,garden area outside needs trimming,low,medium,False,True,"yes, we've had garden area outside needs trimming for nearly a month now. our clients noticed it looking a bit neglected i reported this before and nothing was done about it. this is unacceptable. logistics cluster south, warehouse. please make sure this actually gets done this time."
IP-202511-00055,2025-11-28 03:21:23,tenant support,Premium,Office,Logistics Cluster North,access control system failure locking employees out,high,high,False,True,"good morning. i'm calling from our office in logistics cluster north. so here's what happened. for the past two weeks, we started noticing access control system failure locking employees out. none of our keycards are working this is outrageous, we've been ignored for weeks. and this isn't the first time. we've called about this before. our staff can't work properly because of this. please make sure this actually gets done this time."
IP-202602-00056,2026-02-01 06:02:23,tenant support,Standard,Retail Store,Logistics Cluster North,lighting issues in parking area,medium,medium,False,False,"good morning. i'm calling from our retail store in logistics cluster north. let me explain the situation. for almost a week, we started noticing lighting issues in parking area. it's quite dark in the evening we're glad you're looking into it."
IP-202601-00058,2026-01-01 03:04:23,tenant support,Standard,Office,Logistics Cluster South,warehouse roof leaking during heavy rain,high,medium,False,True,"hi, i'm calling again about an ongoing issue that hasn't been resolved. this is the third time i'm reporting this. we are experiencing warehouse roof leaking during heavy rain. we need the roof patched before the next storm we're located in logistics cluster south, office unit. this was reported last week but nothing has been done. this is unacceptable. we're losing money every day this goes unresolved. please make sure this actually gets done this time."
IP-202512-00059,2025-12-10 04:02:23,tenant support,Standard,Warehouse,Retail Plaza Central,complete power outage affecting entire floor,critical,medium,True,False,"i need to report a serious issue immediately. i'm very upset about this situation. we are experiencing complete power outage affecting entire floor. all our systems are down we're located in retail plaza central, warehouse unit. we're losing money every day this goes unresolved. this is a health and safety risk for our staff. i really hope i don't have to call again about this."
IP-202512-00061,2025-12-17 10:13:23,tenant support,Standard,Retail Store,Zone B – SME Offices,lighting issues in parking area,medium,medium,False,False,"hello, i need to report something that's been bothering us. we are experiencing lighting issues in parking area. it's quite dark in the evening we're located in zone b – sme offices, retail store unit. that sounds good, thank you."
IP-202602-00062,2026-02-06 11:17:23,tenant support,Premium,Retail Store,Tech Block,foul smell coming from the ventilation system,medium,medium,False,False,"good morning. i'm calling from our retail store in tech block. let me explain the situation. since the beginning of the month, we started noticing foul smell coming from the ventilation system. it's been getting worse over the past week we appreciate the fast turnaround."
IP-202602-00063,2026-02-02 10:13:23,tenant support,Standard,Office,Zone B – SME Offices,rodent infestation found in the warehouse,high,medium,False,True,"yes, we've had rodent infestation found in the warehouse since the beginning of the month. this is a serious health and hygiene concern i reported this before and nothing was done about it. i need to speak with a manager. zone b – sme offices, office. this is seriously impacting our business operations. i expect this to be resolved quickly."
IP-202512-00065,2025-12-10 10:55:23,tenant support,Premium,Office,Community Retail Strip,toilet not flushing properly in the office restroom,medium,high,False,False,"good morning. i'm calling from our office in community retail strip. we've been dealing with something and i need your help. since last monday, we started noticing toilet not flushing properly in the office restroom. the flush is very weak and doesn't clear that sounds good, thank you."
IP-202601-00069,2026-01-13 10:46:23,tenant support,Standard,Retail Store,Logistics Cluster North,thermostat not responding to temperature adjustments,medium,medium,False,False,"yes, we've had thermostat not responding to temperature adjustments for the past two weeks. we'd like someone to recalibrate it logistics cluster north, retail store. thanks for being so responsive."
IP-202511-00070,2025-11-23 05:15:23,tenant support,Premium,Office,Community Retail Strip,persistent water leakage damaging office equipment,high,high,False,True,"hi, i'm calling again about an ongoing issue that hasn't been resolved. this is unacceptable. we are experiencing persistent water leakage damaging office equipment. our computers are at risk from the dripping we're located in community retail strip, office unit. this was reported last week but nothing has been done. this is the third time i'm reporting this. our staff can't work properly because of this. please make sure this actually gets done this time."
IP-202512-00072,2025-12-12 06:37:23,tenant support,VIP,Retail Store,Retail Plaza Central,request for additional waste bins,low,medium,False,False,"yes, we've had request for additional waste bins for over a week. would be helpful to have more bins near the entrance retail plaza central, retail store. that's reassuring, thank you."
IP-202601-00073,2026-01-10 10:33:23,tenant support,Premium,Office,Retail Plaza Central,frequent circuit breaker trips in the office,medium,high,False,True,"hi, i need to report a problem with our unit. we are dealing with frequent circuit breaker trips in the office. it's been happening for the past two weeks. we're in retail plaza central, the office. the breaker trips at least once a day yes, multiple times actually. i need to speak with a manager. i really hope i don't have to call again about this."
IP-202511-00075,2025-11-25 08:25:23,tenant support,Standard,Warehouse,Logistics Cluster South,request to adjust the shared hallway temperature,low,low,False,False,"hello, i need to report an issue. we are experiencing request to adjust the shared hallway temperature. just a comfort thing, nothing urgent we're located in logistics cluster south, warehouse unit. we're glad you're looking into it."
IP-202512-00076,2025-12-06 11:14:23,tenant support,VIP,Warehouse,Community Retail Strip,rodent infestation found in the warehouse,high,high,False,True,"hi, i need to report a problem with our unit. we are dealing with rodent infestation found in the warehouse. it's been happening for almost a week. we're in community retail strip, the warehouse. clients will not accept goods from here yes, multiple times actually. this is the third time i'm reporting this. we're losing money every day this goes unresolved. please make sure this actually gets done this time."
IP-202602-00077,2026-02-14 07:22:23,tenant support,Standard,Retail Store,Community Retail Strip,rodent infestation found in the warehouse,high,medium,False,False,"yes, we've had rodent infestation found in the warehouse for three days now. clients will not accept goods from here community retail strip, retail store. our staff can't work properly because of this. we're glad you're looking into it."
IP-202601-00078,2026-01-12 04:06:23,tenant support,Standard,Warehouse,Logistics Cluster North,persistent water leakage damaging office equipment,high,medium,False,False,"hello, i need to report an issue. we are experiencing persistent water leakage damaging office equipment. we had to move desks away from the leak we're located in logistics cluster north, warehouse unit. this is affecting our ability to serve our clients. i really hope i don't have to call again about this."
IP-202511-00079,2025-11-30 02:50:23,tenant support,Premium,Office,Tech Block,elevator breakdown in multi-story unit,high,high,False,True,"yes, we've had elevator breakdown in multi-story unit since we moved in three months ago. we're on the sixth floor and people are struggling i reported this before and nothing was done about it. this is the third time i'm reporting this. tech block, office. our staff can't work properly because of this. please make sure this actually gets done this time."
IP-202601-00080,2026-01-16 04:28:23,tenant support,Premium,Office,Logistics Cluster North,rodent infestation found in the warehouse,high,high,False,False,"yes, we've had rodent infestation found in the warehouse since we moved in three months ago. this is a serious health and hygiene concern logistics cluster north, office. this is seriously impacting our business operations. wonderful, we'll wait for the update."
IP-202601-00081,2026-01-10 09:15:23,tenant support,VIP,Warehouse,Zone B – SME Offices,air conditioning not cooling properly,medium,high,False,False,"hi, i need to report a problem with our unit. we are dealing with air conditioning not cooling properly. it's been happening since last monday. we're in zone b – sme offices, the warehouse. it's warmer than it should be in here perfect, that works for us."
IP-202601-00082,2026-01-06 08:11:23,tenant support,Standard,Office,Zone B – SME Offices,main entrance security breach,critical,high,True,True,"yes, we've had main entrance security breach for the past two days. our security is compromised i reported this before and nothing was done about it. we're paying good money and this is what we get. zone b – sme offices, office. we're losing money every day this goes unresolved. this is a health and safety risk for our staff. please make sure this actually gets done this time."
IP-202601-00083,2026-01-10 05:41:23,tenant support,Premium,Warehouse,Logistics Cluster South,request for additional waste bins,low,low,False,False,"yes, we've had request for additional waste bins for almost a week. the current bins fill up quite quickly logistics cluster south, warehouse. we appreciate the fast turnaround."
IP-202601-00084,2026-01-12 11:19:23,tenant support,VIP,Retail Store,Zone B – SME Offices,air conditioning not cooling properly,medium,high,False,False,"hello, i need to report something that's been bothering us. we are experiencing air conditioning not cooling properly. the temperature isn't ideal for working we're located in zone b – sme offices, retail store unit. thanks for being so responsive."
IP-202601-00085,2026-01-07 06:13:23,tenant support,Standard,Office,Tech Block,toilet not flushing properly in the office restroom,medium,medium,False,False,"hello, i need to report something that's been bothering us. we are experiencing toilet not flushing properly in the office restroom. it's embarrassing for our staff and visitors we're located in tech block, office unit. we're glad you're looking into it."
IP-202511-00087,2025-11-27 03:37:23,tenant support,VIP,Retail Store,Retail Plaza Central,main entrance security breach,critical,high,True,True,"yes, we've had main entrance security breach since yesterday. there was unauthorized access to our floor i reported this before and nothing was done about it. we're paying good money and this is what we get. retail plaza central, retail store. we're losing money every day this goes unresolved. we also have safety concerns about this. i really hope i don't have to call again about this."
IP-202602-00090,2026-02-13 08:29:23,tenant support,Standard,Warehouse,Tech Block,toilet not flushing properly in the office restroom,medium,medium,False,False,"hi, i need to report a problem with our unit. we are dealing with toilet not flushing properly in the office restroom. it's been happening for almost a week. we're in tech block, the warehouse. it's embarrassing for our staff and visitors great, thank you for taking care of this."
IP-202512-00091,2025-12-24 04:07:23,tenant support,VIP,Retail Store,Logistics Cluster North,parking gate malfunctioning intermittently,medium,high,False,False,"yes, we've had parking gate malfunctioning intermittently since the beginning of the month. sometimes it works, sometimes it doesn't logistics cluster north, retail store. thanks for being so responsive."
IP-202602-00092,2026-02-09 09:23:23,tenant support,Standard,Warehouse,Retail Plaza Central,signage outside our unit is faded and hard to read,low,low,False,False,"good morning. i'm calling from our warehouse in retail plaza central. we've been dealing with something and i need your help. since yesterday, we started noticing signage outside our unit is faded and hard to read. when you have time, could it be replaced perfect, that works for us."
IP-202601-00094,2026-01-19 11:02:23,tenant support,VIP,Retail Store,Retail Plaza Central,main entrance security breach,critical,high,True,False,"hello, i need to report something that's been bothering us. we are experiencing main entrance security breach. this is very concerning for our staff we're located in retail plaza central, retail store unit. our staff can't work properly because of this. i'm worried someone could get hurt. great, thank you for taking care of this."
IP-202512-00096,2025-12-01 05:37:23,tenant support,VIP,Office,Zone B – SME Offices,minor noise disturbance from nearby unit,low,medium,False,False,"yes, we've had minor noise disturbance from nearby unit for almost a week. when you have time, could someone look into it zone b – sme offices, office. thank you for your quick response."
IP-202512-00099,2025-12-30 02:00:23,tenant support,Standard,Office,Zone B – SME Offices,lost and found item to report,low,low,False,False,"good morning. i'm calling from our office in zone b – sme offices. we've been dealing with something and i need your help. since last monday, we started noticing lost and found item to report. could you check if someone's been asking about it i appreciate the help, really."
IP-202512-00100,2025-12-22 04:39:23,tenant support,Standard,Office,Retail Plaza Central,hot water not available in the office kitchen,medium,high,False,False,"good morning. i'm calling from our office in retail plaza central. we've been dealing with something and i need your help. for three days now, we started noticing hot water not available in the office kitchen. this is a basic amenity that should be working thank you for your quick response."
IP-202602-00101,2026-02-18 06:27:23,tenant support,VIP,Warehouse,Logistics Cluster South,hot water not available in the office kitchen,medium,high,False,False,"good morning. i'm calling from our warehouse in logistics cluster south. i wanted to give you some background first. since we moved in three months ago, we started noticing hot water not available in the office kitchen. this is a basic amenity that should be working thank you for your quick response."
IP-202512-00102,2025-12-25 10:09:23,tenant support,VIP,Office,Retail Plaza Central,access control system failure locking employees out,high,high,False,False,"hello, i need to report an issue. we are experiencing access control system failure locking employees out. this is completely unacceptable for a business park we're located in retail plaza central, office unit. we're losing money every day this goes unresolved. that sounds good, thank you."
IP-202602-00104,2026-02-10 05:58:23,tenant support,Standard,Office,Retail Plaza Central,slow internet connectivity in common areas,medium,medium,False,False,"hi, i need to report a problem with our unit. we are dealing with slow internet connectivity in common areas. it's been happening since last monday. we're in retail plaza central, the office. pages take forever to load that sounds good, thank you."
IP-202602-00105,2026-02-02 02:32:23,tenant support,VIP,Office,Tech Block,toilet not flushing properly in the office restroom,medium,high,False,False,"good morning. i'm calling from our office in tech block. let me explain the situation. for over a week, we started noticing toilet not flushing properly in the office restroom. it's embarrassing for our staff and visitors thank you for your quick response."
IP-202602-00107,2026-02-07 06:25:23,tenant support,Premium,Office,Community Retail Strip,window blinds broken and cannot be adjusted,medium,high,False,False,"hello, i need to report an issue. we are experiencing window blinds broken and cannot be adjusted. it's uncomfortable working in direct sunlight all day we're located in community retail strip, office unit. we appreciate the fast turnaround."
IP-202602-00108,2026-02-13 05:31:23,tenant support,VIP,Office,Logistics Cluster South,gym equipment in the shared fitness room needs servicing,low,high,False,False,"hi, i need to report a problem with our unit. we are dealing with gym equipment in the shared fitness room needs servicing. it's been happening for nearly a month now. we're in logistics cluster south, the office. just needs a routine service when possible we're glad you're looking into it."
IP-202512-00109,2025-12-01 02:32:23,tenant support,Standard,Warehouse,Retail Plaza Central,persistent water leakage damaging office equipment,high,medium,False,True,"yes, we've had persistent water leakage damaging office equipment since the beginning of the month. our computers are at risk from the dripping i reported this before and nothing was done about it. we're very disappointed with the response time. retail plaza central, warehouse. this is affecting our ability to serve our clients. i expect this to be resolved quickly."
IP-202512-00113,2025-12-15 06:29:23,tenant support,VIP,Warehouse,Zone B – SME Offices,internet and phone lines down for the entire office,high,high,False,True,"good morning. i'm calling from our warehouse in zone b – sme offices. i wanted to give you some background first. for the past two days, we started noticing internet and phone lines down for the entire office. we have no connectivity at all if this isn't resolved today, we're contacting our lawyers. and this isn't the first time. we've called about this before. we're losing money every day this goes unresolved. i really hope i don't have to call again about this."
IP-202512-00114,2025-12-24 07:45:23,tenant support,Premium,Retail Store,Logistics Cluster South,electrical sparking from exposed wiring in the server room,critical,medium,True,False,"good morning. i'm calling from our retail store in logistics cluster south. so here's what happened. since last monday, we started noticing electrical sparking from exposed wiring in the server room. this is a fire hazard this is completely unacceptable! our staff can't work properly because of this. we also have safety concerns about this. please make sure this actually gets done this time."
IP-202511-00115,2025-11-23 04:42:23,tenant support,Standard,Warehouse,Zone A – Corporate Offices,cracks appearing in the office wall,medium,medium,False,False,"yes, we've had cracks appearing in the office wall since yesterday. it doesn't look structural but we want it checked zone a – corporate offices, warehouse. we appreciate the fast turnaround."
IP-202601-00116,2026-01-02 02:59:23,tenant support,Standard,Retail Store,Tech Block,lighting issues in parking area,medium,medium,False,False,"yes, we've had lighting issues in parking area since last monday. our employees feel unsafe walking to their cars tech block, retail store. that sounds good, thank you."
IP-202602-00117,2026-02-02 07:39:23,tenant support,Premium,Warehouse,Logistics Cluster South,squeaky door hinge on the conference room,low,low,False,False,"yes, we've had squeaky door hinge on the conference room for almost a week. it's a bit distracting during meetings logistics cluster south, warehouse. great, thank you for taking care of this."
IP-202511-00120,2025-11-28 07:43:23,tenant support,Premium,Warehouse,Logistics Cluster North,broken main water pipe causing low pressure building-wide,high,high,False,False,"good morning. i'm calling from our warehouse in logistics cluster north. we've been dealing with something and i need your help. for the past two weeks, we started noticing broken main water pipe causing low pressure building-wide. this affects every tenant on our floor we're very disappointed with the response time. we're losing money every day this goes unresolved. please make sure this actually gets done this time."
IP-202512-00121,2025-12-29 02:01:23,tenant support,Standard,Retail Store,Logistics Cluster North,cracks appearing in the office wall,medium,medium,False,True,"hi, i'm calling again about an ongoing issue that hasn't been resolved. we're paying good money and this is what we get. we are experiencing cracks appearing in the office wall. we're concerned it could get worse over time we're located in logistics cluster north, retail store unit. this was reported last week but nothing has been done. this is extremely frustrating. i expect this to be resolved quickly."
IP-202512-00122,2025-12-10 08:59:23,tenant support,Standard,Retail Store,Retail Plaza Central,signage outside our unit is faded and hard to read,low,low,False,False,"yes, we've had signage outside our unit is faded and hard to read for over a week. the sign has been fading for a while now retail plaza central, retail store. that's reassuring, thank you."
IP-202601-00124,2026-01-13 01:24:23,tenant support,Standard,Warehouse,Logistics Cluster North,severe water flooding in the storage area,critical,medium,True,False,"yes, we've had severe water flooding in the storage area for nearly a month now. this is destroying our stock logistics cluster north, warehouse. our staff can't work properly because of this. i'm worried someone could get hurt. i really hope i don't have to call again about this."
IP-202602-00126,2026-02-03 12:00:23,tenant support,Premium,Office,Logistics Cluster North,lighting issues in parking area,medium,medium,False,False,"hello, i need to report an issue. we are experiencing lighting issues in parking area. several lights are flickering or out we're located in logistics cluster north, office unit. we appreciate the fast turnaround."
IP-202601-00127,2026-01-29 12:06:23,tenant support,Premium,Retail Store,Zone B – SME Offices,loading dock gate stuck closed,high,high,False,True,"yes, we've had loading dock gate stuck closed for the past two days. trucks are backing up outside with nowhere to unload i reported this before and nothing was done about it. this is the third time i'm reporting this. zone b – sme offices, retail store. this is affecting our ability to serve our clients. i expect this to be resolved quickly."
IP-202601-00128,2026-01-28 03:26:23,tenant support,Premium,Office,Retail Plaza Central,garden area outside needs trimming,low,medium,False,False,"hello, i need to report an issue. we are experiencing garden area outside needs trimming. our clients noticed it looking a bit neglected we're located in retail plaza central, office unit. thanks for being so responsive."
IP-202512-00129,2025-12-12 10:58:23,tenant support,VIP,Warehouse,Zone B – SME Offices,slow internet connectivity in common areas,medium,high,False,False,"hello, i need to report an issue. we are experiencing slow internet connectivity in common areas. the wifi is very slow in the lobby we're located in zone b – sme offices, warehouse unit. wonderful, we'll wait for the update."
IP-202601-00130,2026-01-16 09:22:23,tenant support,Standard,Retail Store,Zone A – Corporate Offices,frequent circuit breaker trips in the office,medium,medium,False,False,"hello, i need to report an issue. we are experiencing frequent circuit breaker trips in the office. it's disrupting our work regularly we're located in zone a – corporate offices, retail store unit. thank you for your quick response."
IP-202511-00134,2025-11-22 02:10:23,tenant support,VIP,Retail Store,Zone B – SME Offices,gas leak detected near the kitchen area,critical,high,True,True,"good morning. i'm calling from our retail store in zone b – sme offices. we've been dealing with something and i need your help. for almost a week, we started noticing gas leak detected near the kitchen area. we've evacuated the floor as a precaution i've been calling for days about this. and this isn't the first time. we've called about this before. this is affecting our ability to serve our clients. we also have safety concerns about this. please make sure this actually gets done this time."
IP-202512-00135,2025-12-01 08:08:23,tenant support,Standard,Warehouse,Zone B – SME Offices,water cooler in the common area running low too often,low,low,False,False,"yes, we've had water cooler in the common area running low too often for almost a week. could the refill schedule be increased zone b – sme offices, warehouse. that sounds good, thank you."
