ticket_type,subject,text,domain,issue_severity,issue_urgency,safety_concern,business_impact
complaint,Missed Cleaning Day,This is absolutely unacceptable! We have already reported missing scheduled cleanings twice now but still haven't seen action taken on these complaints. Our workspace has become unmanageable due to accumulated dust and clutter since last Tuesday's supposed service date.,office cleaning and janitorial services,,,,
complaint,Unclean Shared Kitchen,I've noticed several hygiene concerns regarding the cleanliness of our building's communal kitchen over the last few weeks.,office leasing and tenant support,,,,
complaint,Faulty Air Conditioning Unit,This is absolutely unacceptable! My office space has suffered without air conditioning since last Monday due to maintenance neglect on your part. I demand immediate repair service as my work environment becomes increasingly unbearable each passing hour.,commercial property and workspace rental,,,,
complaint,Broken Office Chair,"My new ergonomic chair is supposed to help me work comfortably all day long! But every time I sit down after lunch, my back starts hurting immediately because there's clearly still broken springs inside. This isn't what I'm paying thousands for; I've never experienced such discomfort before at another workplace!",office fit-out and renovation,,,,
complaint,Broken Elevator,I've noticed my elevator has stopped working since yesterday; can someone look into fixing it as soon as possible?,office building management and facilities,,,,
complaint,Complaints About Office Air Quality,"I've noticed my colleagues have complained repeatedly over the last few weeks regarding poor air quality within our workspace; despite previous assurances, there seems little improvement.",office building management and facilities,,,,
complaint,Complaints About Office Air Quality,"I've noticed my colleagues have complained repeatedly over the last few weeks regarding poor air quality within our workspace; despite previous assurances, there seems little improvement.",office building management and facilities,,,,
complaint,Inadequate Office Lighting,"I've noticed since moving into my new workspace on floor three, there's barely enough light coming through windows; I find myself straining eyes constantly throughout work hours.",office fit-out and renovation,,,,
complaint,Inadequate Wi-Fi Connectivity,I've encountered persistent slow internet speeds despite multiple attempts at troubleshooting.,shared workspace and coworking,,,,
complaint,Broken AC Unit,Seriously? It's July! My air conditioner is busted again; I can't even breathe properly here.,office leasing and tenant support,,,,
complaint,Noise Complaint Neighboring Tenant,I've noticed significant disturbances coming from my neighbor's apartment on the second floor; loud music is being played late into the night every evening which disrupts sleep patterns.,office leasing and tenant support,,,,
complaint,Broken Elevator,Our building's elevator stopped working again last night; I'm really worried because I have important meetings tomorrow.,office leasing and tenant support,,,,
complaint,Unrecognized Visitor Detected,Hey there! I just noticed someone who doesn't look familiar walking around my desk today at work without checking out his badge.,office security and visitor management,,,,
complaint,Wi-Fi connectivity at desk,I'm really struggling here; my Wi-Fi keeps dropping out every few minutes while I'm working on projects.,shared workspace and coworking,,,,
complaint,Elevator Stuck Again,Great job on fixing elevators; I guess we'll just enjoy another delightful hour stuck between floors.,office leasing and tenant support,,,,
complaint,Complaints About Office Air Conditioning,"Dear Support Team, I've noticed over the last few weeks that my air conditioning has stopped working intermittently throughout workdays which is quite uncomfortable given today's heatwave conditions. Could someone please look into fixing these recurring AC failures? It's essential as they directly impact productivity due to discomfort among staff members. Thank you very much for addressing this urgent matter promptly.",office utilities and building services,,,,
complaint,Broken Elevator,My entire team is stuck on floor five because the elevator broke down again! This has happened three times now since last month; I demand immediate repair!,office building management and facilities,,,,
complaint,Lost Reservation Confirmation,I'm reaching out because I lost my reservation confirmation email after booking through your website last night at around 7 PM. My name is John Smith; I'm scheduled as Mr. Johnson on April 15th starting sharp at noon. Could someone please resend me the necessary information? I've tried checking back online multiple times without success.,reception and front desk services,,,,
complaint,Elevator Outage,I've noticed my apartment's main entrance is inaccessible due to ongoing maintenance on the elevators since last Monday; I require assistance as I'm unable to reach upper floors.,office leasing and tenant support,,,,
complaint,Improper Ventilation Concerns,I've noticed several employees suffering headaches due to inadequate ventilation; immediate action is required.,office health and safety compliance,,,,
complaint,Unfair Property Tax Increase,My taxes have doubled overnight! This is outrageous!,business rates and property tax disputes,,,,
complaint,Wi-Fi connectivity problems,I'm really struggling here; my Wi-Fi keeps dropping out every few minutes! I've tried restarting both devices but still can't get stable connection at workstations A5-F12. It's incredibly frustrating as I have deadlines approaching.,shared workspace and coworking,,,,
complaint,Missing Parcel Delivery,I'm really worried because I ordered my package last Monday but still haven't received anything despite checking all tracking numbers.,mail and courier services,,,,
complaint,Conference Room Booking Error,I'm reaching out because there's consistently incorrect booking information displayed on my account; despite multiple attempts at resolution.,conference room and meeting space management,,,,
complaint,Broken Elevator,Hey there! Our elevator's broken down again on floor five; can't get up without climbing stairs all night!,office building management and facilities,,,,
complaint,Ceiling Leak During Renovation,"During recent renovations at my desk location, I've noticed water dripping onto work surfaces due to ceiling leaks; immediate repair is necessary.",office fit-out and renovation,,,,
complaint,Lease Renewal Deadline Missed,My current contract ends next month; I haven't received confirmation on my renewed agreement.,office leasing and tenant support,,,,
complaint,Unsecured Office Entrance,My car got broken into again because there's absolutely NO SECURITY at my building's entrance!,office security and visitor management,,,,
complaint,Lease Termination Notice Concern,"Dear Office Leasing Team, I received my unexpected lease termination notice today without prior warning as per clause X on page Y of my contract; can someone clarify why? This sudden change disrupts all ongoing projects.",office leasing and tenant support,,,,
complaint,Faulty Air Conditioning Unit,My office's AC stopped working last night; urgent repair needed.,commercial property and workspace rental,,,,
complaint,Unattended phone calls,"Every time I leave my room unattended at night, someone answers! This is unacceptable; I've asked staff multiple times but they never fix it!",reception and front desk services,,,,
complaint,Unfriendly Receptionist,Just walked into my hotel expecting warmth but got cold shoulders instead.,reception and front desk services,,,,
complaint,Complaints regarding AC malfunction,Our air conditioning has stopped working since yesterday afternoon; urgent repair needed.,office utilities and building services,,,,
complaint,Missing Parcel Delivery,I'm really worried because I ordered my package last Monday but still haven't received anything despite checking all tracking numbers.,mail and courier services,,,,
complaint,Broken Office Chair,Hey there! Just moved into my new desk space but found out I have a broken chair - can't sit properly!,office fit-out and renovation,,,,
complaint,Unresolved Check-In Issue,I've checked-in at least three times today without being greeted properly; someone needs to address how staff is handling these situations.,reception and front desk services,,,,
complaint,Ridiculous Property Tax Increase,"Dear Sir/Madam, I just received my new bill; apparently I'm now paying through the nose because someone decided buildings should float on water.",business rates and property tax disputes,,,,
complaint,Blocked Office Parking,My car is stuck behind someone all night! This never happens before!,office parking and access control,,,,
complaint,Conference Room Booking Error,"I've encountered multiple booking errors while trying to reserve Conference Room B on Monday mornings over the last month. Despite confirming availability through both online systems and phone calls prior to meetings scheduled at 9 AM sharp, I've consistently found myself unable to access my reservation confirmation email after completing each transaction. This has led to several instances where I arrived without knowing if there were other bookings made simultaneously.",conference room and meeting space management,,,,
complaint,Unexpected Eviction Notice,Received sudden eviction letter today; never got prior warning.,office leasing and tenant support,,,,
complaint,Office Move-In Delays,I'm really getting worried because my new lease is supposed to start next Monday but I haven't received confirmation yet! I've checked all emails including spam; there's just silence on moving dates. Can someone clarify what's going wrong? I'm starting to miss important deadlines at work due to these delays.,office leasing and tenant support,,,,
complaint,Broken Elevator,My office on floor twelve is stuck due to elevator failure since yesterday afternoon! This has caused significant disruption as I have important meetings scheduled today!,commercial property and workspace rental,,,,
complaint,Non-compliant Fire Extinguisher,Our fire extinguisher expired last month but has remained unaddressed despite repeated requests.,office health and safety compliance,,,,
complaint,Disputed Property Tax Increase,I'm reaching out because my recent bill shows a significant increase in both commercial rate and property taxes without prior notice nor explanation as per local regulations. This sudden hike is causing financial strain on small businesses within the district.,business rates and property tax disputes,,,,
complaint,Ceiling Leak During Renovation,My ceiling is leaking constantly since yesterday's work; I can't focus on my tasks!,office fit-out and renovation,,,,
complaint,Unrecognized Visitor at Office,Hey there! I just noticed someone who doesn't look familiar hanging around outside my building today while I'm out on business trips all month long. It's got me worried because I've never seen anyone here before without prior notice.,office security and visitor management,,,,
complaint,Faulty Air Conditioning Unit,My office's AC stopped working last night; urgent repair needed.,commercial property and workspace rental,,,,
complaint,Lost Hotel Key,"Hello, I just arrived at my hotel room but realized I've lost both keys! I'm really worried because they were supposed to arrive last night as per booking confirmation email. Can someone assist me? Is there another way into rooms without these?",reception and front desk services,,,,
complaint,Improper Ventilation Concerns,I've noticed several employees have reported headaches due to poor ventilation at my workstation; can someone address air quality standards?,office health and safety compliance,,,,
complaint,Broken Conference Room Equipment,This is absolutely unacceptable! I booked my presentation last Friday using your so-called premium service package because they promised top-notch equipment including projectors and microphones. Today I'm here trying again but everything's broken - projector won't turn on at all; microphone feedbacks loudly every time someone speaks. This has ruined multiple meetings already scheduled today as attendees can't see slides nor hear clearly without constant interruptions due to faulty tech. Fix these immediately before losing more business!,conference room and meeting space management,,,,
complaint,Inadequate Parking Space,I've noticed there's barely enough room at my allocated parking spot; other tenants seem to have larger spaces which is quite inconvenient.,commercial property and workspace rental,,,,
complaint,Disputed Property Tax Increase,Hey there! I just got my latest bill shockingly high due to what seems like another unjustified increase on my property's taxes. I've always paid promptly but never expected such steep hikes year after year without clear reasons given back then. Can someone explain why there's suddenly more money being demanded? It's getting really frustrating.,business rates and property tax disputes,,,,
complaint,Printer Connectivity Issue,My laptop can't connect to the shared printer on my network anymore; tried restarting both devices but still stuck.,IT and office technology support,,,,
complaint,Complaints About Office Air Conditioning,"Our air conditioning has stopped working since yesterday afternoon; despite multiple calls over the last three hours, there is still no resolution.",office utilities and building services,,,,
complaint,Unbearable Noise Levels,"Dear Office Leasing Team, I can't believe I'm even typing out such nonsense anymore! It's as if my neighbors on Floor 5 decided karaoke is now part of daily life at exactly midnight every night—loud enough to wake up dead people across town. I've tried everything; earplugs don't work against decibels set by rock bands rehearsing non-stop. This isn't just annoying—it’s downright disruptive. Can someone do anything here? Or am I expected to become nocturnal myself?",office leasing and tenant support,,,,
complaint,Inadequate Parking Space,I'm reaching out because my office space lacks sufficient parking as advertised; I have trouble finding spots daily which disrupts employee punctuality.,commercial property and workspace rental,,,,
complaint,Inconsistent Heating,I'm really struggling here; my office space is freezing despite paying rent! Can someone explain why there's still ice on windows? I thought I'd get warm air!,commercial property and workspace rental,,,,
complaint,Disputed Rent Payment,"My company sent last month's rent via bank transfer on time as per lease agreement terms; however, I received notice claiming non-payment despite confirmation receipt number #12345ABC. This is causing confusion among my team members who have already prepared financial reports assuming all dues were settled.",office leasing and tenant support,,,,
complaint,Broken Printer Connectivity,My printer won't connect since yesterday! This is unacceptable; I have urgent documents waiting!,IT and office technology support,,,,
complaint,Lease Termination Notice Concern,"Dear Office Leasing Department, I am reaching out regarding my recent receipt of what appears to be a premature lease termination notice dated March 15th instead of April as per agreement terms on February 28th.",office leasing and tenant support,,,,
complaint,Lease Termination Notice,I'm deeply concerned as I've just received my unexpected eviction letter dated March 15th; I never got prior warning nor explanation regarding why I'm being evicted.,office leasing and tenant support,,,,
complaint,Incorrect Guest Information,"Hello, I recently stayed at your hotel under my name John Smith; however, upon checking out today, I've noticed on my bill there's another guest listed as Jane Doe who never checked into her room. This seems quite unusual since I'm certain there were always just myself staying here throughout my stay last weekend.",reception and front desk services,,,,
complaint,Lease Terms Discrepancy,"Hey there! I just moved into my new place on Elm Street last month under what seemed promising lease conditions regarding parking spaces included as part of the deal. However, I've found out there's actually nowhere designated specifically for me - seems they didn't mention anything at all before signing up!",office leasing and tenant support,,,,
complaint,Restricted Access Issue,I've encountered repeated problems accessing my designated spot due to malfunctioning gate controls; despite multiple attempts over several weeks.,office parking and access control,,,,
complaint,Broken Elevator,This broken elevator is unacceptable! I've waited over half an hour today alone!,office building management and facilities,,,,
complaint,Printer Connectivity Issue,I've encountered persistent problems connecting my laptop to the shared printer on floor three since yesterday afternoon; despite multiple attempts at troubleshooting as per previous guidance.,IT and office technology support,,,,
complaint,Printer Connectivity Issue,I've encountered persistent problems connecting my laptop to the shared printer on floor three since yesterday afternoon; despite multiple attempts at troubleshooting as per previous guidance.,IT and office technology support,,,,
complaint,Unauthorized Visitor Access,"My name is John Smith; I work at Acme Corp's downtown branch. Last night around midnight, someone entered my building without proper identification while I'm away on vacation! This has never happened before—it's extremely concerning given recent break-ins reported nearby. Please advise immediately as I've already contacted local authorities but would appreciate additional guidance.",office security and visitor management,,,,
complaint,Missed Cleaning Day,I'm reaching out because my building's floor didn't get cleaned on Tuesday as scheduled; I noticed dust accumulation since then.,office cleaning and janitorial services,,,,
complaint,Ceiling Leak During Renovation,"During recent renovations at my desk location, I've noticed water dripping onto work surfaces due to ceiling leaks; immediate repair is necessary.",office fit-out and renovation,,,,
complaint,Dispute on Rent Increase Notice,Received unexpected notice regarding my monthly lease's increased rate; I request clarification as per terms outlined at signing.,office leasing and tenant support,,,,
complaint,Inadequate Fire Extinguishers,I've noticed several fire extinguishers missing tags at my desk last Monday; I'm concerned they might have expired without anyone's knowledge. It's crucial these devices meet all regulations as they're essential for emergencies.,office health and safety compliance,,,,
complaint,Printer Connectivity Issue,My laptop can't connect to the shared printer anymore; I've tried troubleshooting steps already.,IT and office technology support,,,,
complaint,Conference Room Booking Error,I'm reaching out because there's consistently incorrect booking information displayed on my account; despite multiple attempts at resolution.,conference room and meeting space management,,,,
complaint,Unrecognized Visitor Access,My colleague mentioned someone entered without badge; how do I confirm if they were authorized?,office security and visitor management,,,,
complaint,Elevator Malfunction,I've encountered repeated malfunctions on elevator E5 between floors B and C over several weeks now; safety concerns arise as passengers experience delays.,office building management and facilities,,,,
complaint,Unsecured Visitor Entrance,My child got lost last Tuesday because there were no cameras at entry! This is unacceptable; I demand immediate action!,office security and visitor management,,,,
complaint,AC Unit Malfunction,My AC stopped working last night; I can't get cool air.,office utilities and building services,,,,
complaint,Broken Elevator,This is unacceptable! Our office building's elevator has broken down again today after just fixing last month’s repair bill. I demand immediate action!,commercial property and workspace rental,,,,
complaint,Lease Renewal Deadline Missed,My business is approaching its annual review date on March 15th; I have yet received confirmation regarding my current year's rent increase.,office leasing and tenant support,,,,
complaint,Complaints About Office Air Quality,"Dear Facilities Team, I've noticed over the last few weeks there has been persistent mold growth on several surfaces within my workspace at floor level C. This is concerning as I have allergies which can exacerbate health problems due to poor air quality. Could someone please address these conditions promptly? Ensuring clean working environments should certainly fall under regular maintenance checks. Thank you very much for understanding and addressing this matter swiftly.",office building management and facilities,,,,
complaint,Faulty Air Conditioning Unit,My office space's air conditioning has broken down again; I urgently require assistance as my team is struggling without proper climate control.,commercial property and workspace rental,,,,
complaint,Disputed Property Tax Increase,I've noticed my recent bill shows a significant increase due to what I believe is incorrect assessment on properties similar to mine; can someone review these discrepancies?,business rates and property tax disputes,,,,
complaint,Complaints About Office Air Conditioning,I've noticed over the last few weeks that my air conditioning has stopped working intermittently throughout work hours at least three times per week. This is causing significant discomfort as temperatures inside rise considerably higher than usual without proper cooling.,office utilities and building services,,,,
complaint,Broken Elevator,This is absolutely unacceptable! Our elevator has broken down again today at work on floor seven; I've already waited over thirty minutes without moving since nine o'clock sharp. This delay disrupts my entire day's plans as I have back-to-back meetings scheduled throughout the afternoon.,office building management and facilities,,,,
complaint,Restricted Access Issue,"I'm reaching out because I've encountered repeated difficulties accessing my designated spot at the main entrance due to malfunctioning gate controls since last Monday. Despite multiple attempts over several weeks now, I still can't get through without assistance every time I'm late arriving after lunch hours.",office parking and access control,,,,
complaint,Dispute on Rent Increase,Received notice today; my lease says fixed rate but they're charging more! This is unacceptable!,office leasing and tenant support,,,,
complaint,Inadequate Office Lighting,"Dear Sir/Madam, I am reaching out regarding my recent experience at the new workspace provided on Elm Street. Unfortunately, I've found myself struggling due to inadequate lighting conditions which have made reading documents quite challenging throughout various times of the workday. This is particularly problematic as most tasks require attention to detail under natural light settings; however, current fixtures do little to compensate once daylight fades away. Could there possibly be room for improvement here? Your prompt assistance would greatly enhance productivity.",office fit-out and renovation,,,,
complaint,Inadequate Office Lighting,"I've noticed since my desk moved into its new spot post-renovation, there's barely enough light coming through overhead fixtures; I struggle even after turning on additional lamps provided earlier.",office fit-out and renovation,,,,
complaint,Incorrect Guest Information,"Hello, I recently stayed at your hotel under my name John Smith; however, upon checking out today, I've noticed on my bill there's another guest listed as Jane Doe who never checked into her room. This seems quite unusual since I'm certain there were always just myself staying here throughout my stay last weekend.",reception and front desk services,,,,
complaint,Unrecognized Visitor Detected,My name is John Smith; I noticed someone unfamiliar entering my building today without proper identification.,office security and visitor management,,,,
complaint,Broken Elevator,Hey there! Our office on floor five just got stuck because someone's broken elevator stopped working again.,commercial property and workspace rental,,,,
complaint,Disputed Property Tax Assessment,"Dear Sir/Madam, I am contacting regarding my recent assessment notice which significantly overestimates the value of my commercial premises located at [address]. This has resulted in an unjustified increase in annual taxes compared to previous years despite market conditions suggesting otherwise.",business rates and property tax disputes,,,,
complaint,Stolen Office Chair,"Well, guess what? My ergonomic chair decided today would make a great coffee table while I worked remotely all weekend! Kudos on delivering such... unique furniture solutions.",office fit-out and renovation,,,,
complaint,Missed Cleaning Day,"Dear Janitor Services Team, I am reaching out regarding my recent experience on March 15th where there seems to have been another skipped scheduled clean-up at my workplace located within Zone A - Office Building B. This is becoming quite concerning as consistent service quality has always met expectations until now. Could someone please clarify why these lapses occurred? Your prompt attention would greatly help maintain cleanliness standards.",office cleaning and janitorial services,,,,
complaint,Inadequate Fire Extinguishers,I've noticed several fire extinguishers missing tags at my desk last Monday; I'm concerned they might have expired.,office health and safety compliance,,,,
complaint,Late Parcel Delivery,"Dear Sir/Madam, I am reaching out regarding my parcel sent on March 5th which has yet to arrive despite being promised delivery within three business days as per tracking information provided at checkout.",mail and courier services,,,,
complaint,Misrepresented Office Space,I'm reaching out because I've discovered my leased space is smaller than what I agreed upon initially; they promised me more room per person which has caused significant inconvenience as I'm unable to accommodate all staff members comfortably.,office leasing and tenant support,,,,
complaint,Unrecognized Visitor Detected,"During my last visit on Tuesday afternoon, I noticed someone who wasn't listed as part of today's scheduled visitors at reception desk. Could there have been another guest present without proper authorization?",office security and visitor management,,,,
complaint,Lost Reservation Confirmation,"I'm deeply sorry, I seem to have misplaced my reservation confirmation email after checking into room 305 last night; can someone assist me?",reception and front desk services,,,,
complaint,Inadequate Wi-Fi Connectivity,"Dear Support Team, I am currently working at XYZ Co-working Space on floor C and have encountered persistent problems with internet connectivity throughout my workday. Despite multiple attempts using different devices, all show significant lagging speeds which is severely impacting productivity.",shared workspace and coworking,,,,
complaint,Complaints About Office Air Conditioning,"Our air conditioning has stopped working since yesterday afternoon; despite multiple calls over the last three hours, there is still no resolution.",office utilities and building services,,,,
complaint,Unclear Move-In Instructions,I'm really lost here; they gave me different dates on what I can start using my new space.,office leasing and tenant support,,,,
complaint,Wi-Fi Woes,"Oh great, just what I needed today - another Wi-Fi outage! I've got presentations scheduled all afternoon because apparently my laptop is more important than yours at peak hours? Fantastic service!",shared workspace and coworking,,,,
complaint,Inadequate Office Lighting,"After moving into my new workspace last month, I've found the lighting insufficient; I struggle even after installing additional lamps.",office fit-out and renovation,,,,
complaint,Unrecognized Visitor Detected,"During my last visit today at around noon, I noticed someone on-site who wasn't listed as part of today's scheduled visitors.",office security and visitor management,,,,
complaint,Faulty Elevator,I've encountered multiple malfunctions today on elevator E5; stuck between floors repeatedly causing significant delays.,office building management and facilities,,,,
complaint,Printer Connectivity Issue,Our HP OfficeJet Pro series printer is intermittently losing connection despite being on the same network as other devices.,IT and office technology support,,,,
complaint,Broken Elevator,This broken elevator is unacceptable! I've reported multiple times but still can't access my floor on time every workday!,office building management and facilities,,,,
complaint,Broken Elevator,Seriously? Another broken elevator! I bet someone forgot to fix last month's mess too.,office leasing and tenant support,,,,
complaint,Faulty Air Conditioning Unit,"I've noticed my air conditioning has stopped working since last Monday; despite multiple attempts at troubleshooting as per instructions on your website, there's still no resolution.",commercial property and workspace rental,,,,
complaint,Unfair Property Tax Increase,This is absolutely ridiculous! My property's assessed value has skyrocketed without my consent leading to an unjustified hike in taxes every year now. I demand immediate review; I'm being overcharged based on outdated information!,business rates and property tax disputes,,,,
complaint,Broken projector,Hey there! Our team can't start presentations because the projector just died mid-meeting.,conference room and meeting space management,,,,
complaint,Complaints About Office Air Conditioning,"I'm reaching out because my air conditioning has stopped working since last Monday; despite multiple calls over the weekend, there's still silence on its repair status. This is causing significant discomfort as temperatures soar outside.",office utilities and building services,,,,
complaint,Missed Cleaning Day,Our designated clean-up on Tuesday went unaddressed; please confirm if there were unforeseen circumstances.,office cleaning and janitorial services,,,,
complaint,Unfair Property Tax Increase,My taxes have doubled overnight! This is outrageous!,business rates and property tax disputes,,,,
complaint,Inadequate Wi-Fi Connectivity,I've encountered persistent problems accessing reliable internet at my desk today; can someone assist me?,shared workspace and coworking,,,,
complaint,Broken Elevator,This broken elevator is unacceptable! I've reported multiple times but still can't access my floor on time every workday!,office building management and facilities,,,,
complaint,Power Outage at Office,Our entire floor is without power since midnight; critical work can't continue!,office utilities and building services,,,,
complaint,Broken Elevator,Hey there! Our office on floor five just got stuck because someone's broken elevator stopped working again.,commercial property and workspace rental,,,,
complaint,Unauthorized vehicle entry,My car has repeatedly entered my reserved space without permission; I require immediate resolution.,office parking and access control,,,,
complaint,Broken Air Conditioning,This is absolutely unacceptable! Our air conditioning has stopped working again just as summer hits its peak heatwave here at my downtown apartment complex. I've called maintenance multiple times over these last few weeks but still haven't received proper repairs despite promises made on numerous occasions. I can't stand being without AC anymore; I'm sweating through nights now because someone needs to fix this mess ASAP!,office utilities and building services,,,,
complaint,Missed Cleaning Day,We noticed another skipped scheduled clean on March 5th; can someone confirm if there will still happen?,office cleaning and janitorial services,,,,
complaint,Blocked Office Entrance,My car is stuck at my usual spot because someone parked there all night! I can't get into work now!,office parking and access control,,,,
complaint,Printer Connectivity Issue,I've encountered persistent problems connecting my laptop to the shared printer on floor three since yesterday afternoon; despite multiple attempts at troubleshooting as per previous guidance.,IT and office technology support,,,,
complaint,Unattended phone calls,"Every time I leave my room unattended at night, someone answers! This is unacceptable; I've asked staff multiple times but they never fix it!",reception and front desk services,,,,
complaint,Broken Elevator,Hey there! Just moved into my new office space on Maple Street last month but today I discovered there's actually broken elevator service since yesterday afternoon.,commercial property and workspace rental,,,,
complaint,Complaints About Office Air Conditioning,"I've noticed my air conditioning has stopped working since last Monday; despite multiple calls over the weekend, there's still silence on its repair status. This is quite inconvenient as temperatures have soared beyond comfortable levels.",office utilities and building services,,,,
complaint,Conference Room Booking Error,"I've encountered multiple booking errors while trying to reserve Conference Room B on Monday mornings over the last month. Despite confirming availability through both online systems and phone calls prior to meetings scheduled at 9 AM sharp, I've consistently found myself unable to access my reservation confirmation email after completing each transaction. This has led to several instances where I arrived without knowing if there were other bookings made simultaneously.",conference room and meeting space management,,,,
complaint,Unauthorized Building Access,Noticed someone entering my leased space last night at odd hours; never received prior notification.,office leasing and tenant support,,,,
complaint,Lease Renewal Denied,This is absolutely unacceptable! I have paid my rent on time every month as per agreement since last year; yet now they want more money? My business can't afford these sudden hikes—this isn't fair at all!,office leasing and tenant support,,,,
complaint,Wi-Fi connectivity at desk,Hey there! My Wi-Fi keeps dropping out every few minutes right where I'm sitting.,shared workspace and coworking,,,,
complaint,Disputed Property Tax Increase,My property's assessed value has skyrocketed without my consent leading to unfairly high taxes last year; I believe there's room for negotiation on these figures.,business rates and property tax disputes,,,,
complaint,Unfriendly Receptionist,Just walked into my hotel expecting warmth but got cold shoulders instead.,reception and front desk services,,,,
complaint,Unfair Property Tax Increase,My taxes have doubled overnight! This is outrageous!,business rates and property tax disputes,,,,
complaint,Broken Elevator,"This is absolutely unacceptable! Our elevator has broken down again just as I have back-to-back meetings scheduled on different floors today. This isn't my second time reporting such poor maintenance here at Building X. I'm expecting immediate action; otherwise, I'll escalate this matter beyond these walls!",office building management and facilities,,,,
complaint,Late Package Delivery,Your service is unacceptable! My package arrived three whole weeks late!,mail and courier services,,,,
complaint,Ridiculous Property Tax Increase,"Oh great, another year where my beloved neighborhood decides they want more money out of me because apparently houses aren't worth what they're built on anymore.",business rates and property tax disputes,,,,
complaint,Disputed Electricity Bill,Hey there! I just got my latest bill but there's clearly double-charged on electricity usage; can someone look into this?,office leasing and tenant support,,,,
complaint,Unfair Retention Fee,Seriously? Another $500 vanished into thin air as my retention fee without so much as a heads-up! This isn't just frustrating; it's robbery!,office leasing and tenant support,,,,
complaint,Ceiling Leak During Renovation,"During recent renovations at my desk location, I've noticed water dripping onto work surfaces due to ceiling leaks; immediate repair is necessary.",office fit-out and renovation,,,,
complaint,Broken Air Conditioning,This is absolutely unacceptable! Our air conditioning has stopped working again today while everyone at my desk works under extreme heat. I demand immediate repair service!,office utilities and building services,,,,
complaint,Urgent HVAC Repair Needed,"Our air conditioning broke down last Monday; without proper cooling, productivity is suffering.",office leasing and tenant support,,,,
complaint,Unhelpful Receptionist,Just walked into my hotel expecting assistance; instead got lectured on how I should've checked online before arriving! What kind of service is this?,reception and front desk services,,,,
complaint,Inconsistent Heating,I'm really struggling here; my office space is freezing despite paying rent! Can someone explain why there's still ice on windows? I thought I'd get warm air!,commercial property and workspace rental,,,,
complaint,Stolen Office Chair,Great job on installing my chair upside down; now I can't even pretend I'm working.,office fit-out and renovation,,,,
complaint,Printer Paper Jam,Hey there! My printer just won't stop jamming on paper every time I try to print my reports at work today. It's super annoying because I've got deadlines coming up fast. Can someone help me fix this? Thanks!,IT and office technology support,,,,
complaint,Confused About New Office Layout,I'm really struggling here; I can't find my desk now because they moved everything around after renovating! Can someone guide me?,office fit-out and renovation,,,,
complaint,Parking Spot Dispute,Hey there! I parked my car last night at spot #42 but found someone else's vehicle occupying mine today. Can anyone help sort out who has rights here?,office parking and access control,,,,
complaint,Unauthorized Visitor Access,We have recently discovered several instances where unauthorized individuals were able to enter restricted areas within our facility without proper identification checks being enforced. This lapse has raised concerns regarding potential breaches of confidentiality agreements made between parties involved here at [Company Name]. Immediate action is required to review access protocols and ensure compliance with established safety measures.,office security and visitor management,,,,
complaint,Lease Termination Notice Concern,Received unexpected early termination clause notification; my business has always met payment deadlines.,office leasing and tenant support,,,,
complaint,Unresponsive Elevator,My floor's elevator isn't working since yesterday; can someone fix it?,office utilities and building services,,,,
