call_id,timestamp,call_category,tenant_tier,asset_type,location,issue_type,issue_severity,business_impact,safety_concern,is_recurring,transcript,proxy_sentiment,proxy_urgency,proxy_keywords_str
IP-202512-00011,2025-12-04 02:12:24,Tenant Support,Premium,Warehouse,Retail Plaza Central,lighting issues in parking area,medium,medium,False,True,"Agent: Support Desk, good morning.
Tenant: Yes, we've had lighting issues in parking area for over a week.
Tenant: we're concerned about safety after hours
Tenant: I reported this before and nothing was done about it.
Tenant: I expected much better from this facility.
Agent: I understand. Can I confirm your location?
Tenant: Retail Plaza Central, warehouse.
Agent: I've escalated this to our senior maintenance team.
Agent: Expect a callback within 2 hours with an update.
Tenant: I expect this to be resolved quickly.
Agent: Absolutely. We'll keep you updated every step of the way.",0.25,1.0,"1,20,27,33,35"
IP-202512-00012,2025-12-11 20:10:24,Tenant Support,VIP,Office,Zone A – Corporate Offices,squeaky door hinge on the conference room,low,low,False,False,"Agent: Support Desk, good morning.
Tenant: Yes, we've had squeaky door hinge on the conference room for almost a week.
Tenant: it's a bit distracting during meetings
Agent: I understand. Can I confirm your location?
Tenant: Zone A – Corporate Offices, office.
Agent: I've logged this and our team will look into it.
Agent: We'll get to it as part of our regular maintenance schedule.
Tenant: That's reassuring, thank you.
Agent: You're welcome. We'll take care of this.",0.6,0.44999999999999996,"1,35"
IP-202512-00013,2025-12-06 19:15:24,Leasing Inquiry,Prospective,Office,Zone B – SME Offices,professional_detailed,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Good morning, I'm calling to enquire about available space.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a office.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Zone B – SME Offices.
Agent: May I know your size requirement?
Caller: Approximately 6000 square feet.
Caller: What is the rental rate per square foot?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: What are the payment terms?
Agent: I can include all those details in the proposal.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,1
IP-202601-00014,2026-01-28 21:37:24,Leasing Inquiry,Prospective,Warehouse,Logistics Cluster South,urgent_expansion,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I need to find space urgently.
Caller: Our current location is no longer suitable.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Logistics Cluster South.
Agent: May I know your size requirement?
Caller: Approximately 8000 square feet.
Caller: What's the fastest we can sign?
Agent: We have immediate availability in several units.
Caller: We need space urgently for expansion
Agent: I can include all those details in the proposal.
Caller: Can we schedule a viewing today?
Agent: Absolutely. I can arrange a viewing this afternoon.
Caller: Perfect, please send me the details.",0.3,1.0,"1,49"
IP-202602-00015,2026-02-09 18:22:24,Tenant Support,VIP,Retail Store,Logistics Cluster South,thermostat not responding to temperature adjustments,medium,medium,False,False,"Agent: Industrial Park Support, how can I help?
Tenant: Good morning. I'm calling from our retail store in Logistics Cluster South.
Tenant: Let me explain the situation.
Tenant: Since yesterday, we started noticing thermostat not responding to temperature adjustments.
Tenant: the display seems frozen on one temperature
Agent: Thank you for explaining. I'm logging this now.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: Thank you for your quick response.
Agent: You're welcome. We'll take care of this.",0.8999999999999999,0.55,"3,6"
IP-202512-00016,2025-12-10 03:02:24,Leasing Inquiry,Prospective,Warehouse,Retail Plaza Central,relocation_inquiry,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Good morning, I'm calling to enquire about available space.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Retail Plaza Central.
Agent: May I know your size requirement?
Caller: Approximately 8000 square feet.
Caller: We're relocating from another emirate, what do we need to know?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: Are there loading bays available during weekends?
Agent: We have dedicated loading bays and can arrange after-hours access for moves.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,1
IP-202512-00017,2025-12-18 18:40:24,Tenant Support,Standard,Warehouse,Logistics Cluster North,slow internet connectivity in common areas,medium,medium,False,False,"Agent: Industrial Park Support, how can I help?
Tenant: Good morning. I'm calling from our warehouse in Logistics Cluster North.
Tenant: I wanted to give you some background first.
Tenant: Since yesterday, we started noticing slow internet connectivity in common areas.
Tenant: we can't have video meetings properly
Agent: Thank you for explaining. I'm logging this now.
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: Wonderful, we'll wait for the update.
Agent: Thank you for reporting this. We'll keep you updated.",0.8999999999999999,0.55,"1,41,43"
IP-202602-00018,2026-02-15 17:24:24,Tenant Support,Standard,Retail Store,Retail Plaza Central,persistent water leakage damaging office equipment,high,medium-high,False,False,"Agent: Industrial Park Support Desk, how may I assist?
Tenant: Hello, I need to report something that's been bothering us.
Tenant: We are experiencing persistent water leakage damaging office equipment.
Tenant: we had to move desks away from the leak
Agent: I'm very sorry to hear that. Let me get your details to assist you.
Agent: May I have your unit information?
Tenant: We're located in Retail Plaza Central, retail store unit.
Tenant: This is affecting our ability to serve our clients.
Agent: I'm marking this as high priority and escalating to the maintenance manager.
Agent: We'll have someone on-site within the hour.
Tenant: That sounds good, thank you.
Agent: You're welcome. We'll take care of this.",0.6,0.5,"8,9,35"
IP-202602-00019,2026-02-17 01:45:24,Tenant Support,Standard,Warehouse,Zone A – Corporate Offices,bird nesting near the entrance causing minor mess,low,low,False,False,"Agent: Industrial Park Support, how can I help?
Tenant: Good morning. I'm calling from our warehouse in Zone A – Corporate Offices.
Tenant: Let me explain the situation.
Tenant: For nearly a month now, we started noticing bird nesting near the entrance causing minor mess.
Tenant: can it be cleaned up and maybe the nests relocated
Agent: Thank you for explaining. I'm logging this now.
Agent: Thank you for letting us know. I've added this to our task list.
Agent: It should be addressed within the next few business days.
Tenant: We appreciate the fast turnaround.
Agent: Thank you for reporting this. We'll keep you updated.",0.8999999999999999,0.7000000000000001,
IP-202512-00020,2025-12-11 17:47:24,Tenant Support,Premium,Office,Tech Block,door lock on the main office entrance is jammed,medium,medium,False,False,"Agent: Industrial Park Support, how can I help?
Tenant: Good morning. I'm calling from our office in Tech Block.
Tenant: We've been dealing with something and I need your help.
Tenant: Since yesterday, we started noticing door lock on the main office entrance is jammed.
Tenant: it needs to be replaced before it breaks completely
Agent: Thank you for explaining. I'm logging this now.
Agent: I've created a maintenance request for this.
Agent: You should hear back from us by tomorrow.
Tenant: Great, thank you for taking care of this.
Agent: Thank you for reporting this. We'll keep you updated.",0.8999999999999999,0.55,"1,35"
IP-202512-00021,2025-12-05 20:47:24,Tenant Support,Premium,Office,Logistics Cluster South,lighting issues in parking area,medium,medium,False,False,"Agent: Support Desk, how may I assist you today?
Tenant: Hi, I need to report a problem with our unit.
Agent: Of course. Could you describe the issue?
Tenant: We are dealing with lighting issues in parking area.
Agent: I see. How long has this been going on?
Tenant: It's been happening for almost a week.
Agent: And can you tell me which unit you're in?
Tenant: We're in Logistics Cluster South, the office.
Agent: Is this affecting your ability to operate?
Tenant: it's quite dark in the evening
Agent: I've logged your ticket and our team will address this.
Agent: We'll update you within 24 hours.
Tenant: Thank you for your quick response.
Agent: Thank you for reporting this. We'll keep you updated.",0.19999999999999996,0.7000000000000001,"20,27"
IP-202511-00022,2025-11-23 18:15:24,Leasing Inquiry,Prospective,Retail Store,Zone A – Corporate Offices,urgent_expansion,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I need to find space urgently.
Caller: Our current location is no longer suitable.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a retail store.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Zone A – Corporate Offices.
Agent: May I know your size requirement?
Caller: Approximately 8000 square feet.
Caller: Can we schedule a viewing today?
Agent: I can include all those details in the proposal.
Caller: Can we move in within two weeks?
Agent: We have immediate availability in several units.
Caller: What's available immediately?
Agent: I can include all those details in the proposal.
Caller: Can we schedule a viewing today?
Agent: Absolutely. I can arrange a viewing this afternoon.
Caller: Perfect, please send me the details.",0.3,1.0,"1,49"
IP-202512-00023,2025-12-31 00:21:24,Leasing Inquiry,Prospective,Warehouse,Zone B – SME Offices,urgent_expansion,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I need to find space urgently.
Caller: Our current location is no longer suitable.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Zone B – SME Offices.
Agent: May I know your size requirement?
Caller: Approximately 6000 square feet.
Caller: Can we schedule a viewing today?
Agent: I can include all those details in the proposal.
Caller: What's available immediately?
Agent: I can include all those details in the proposal.
Caller: Can we schedule a viewing today?
Agent: Absolutely. I can arrange a viewing this afternoon.
Caller: Perfect, please send me the details.",0.3,1.0,"1,49"
IP-202512-00024,2025-12-11 02:26:24,Tenant Support,VIP,Warehouse,Zone A – Corporate Offices,recycling bins not being collected on schedule,low,low,False,False,"Agent: Industrial Park Support, how can I help?
Tenant: Good morning. I'm calling from our warehouse in Zone A – Corporate Offices.
Tenant: So here's what happened.
Tenant: For three days now, we started noticing recycling bins not being collected on schedule.
Tenant: just a small housekeeping issue
Agent: Thank you for explaining. I'm logging this now.
Agent: I've logged this and our team will look into it.
Agent: We'll get to it as part of our regular maintenance schedule.
Tenant: We appreciate the fast turnaround.
Agent: Happy to help. We'll be in touch.",1.0,0.8500000000000001,35
IP-202601-00025,2026-01-05 04:11:24,Leasing Inquiry,Prospective,Office,Tech Block,professional_detailed,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Good morning, I'm calling to enquire about available space.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a office.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Tech Block.
Agent: May I know your size requirement?
Caller: Approximately 10000 square feet.
Caller: Is the unit fitted or shell and core?
Agent: I can include all those details in the proposal.
Caller: Are there any move-in incentives currently available?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: What are the payment terms?
Agent: I can include all those details in the proposal.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,1
IP-202601-00026,2026-01-29 01:59:24,Leasing Inquiry,Prospective,Office,Zone B – SME Offices,casual_quick,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hi there, I'm looking for some space to rent.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a office.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Zone B – SME Offices.
Agent: May I know your size requirement?
Caller: Approximately 4000 square feet.
Caller: Do you have anything smaller available?
Agent: I can include all those details in the proposal.
Caller: When can we move in?
Agent: We have immediate availability in several units.
Caller: Is parking included?
Agent: Parking allocation depends on the unit size, typically 1 space per 1000 sq ft.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,"1,27"
IP-202511-00027,2025-11-27 18:59:24,Leasing Inquiry,Prospective,Office,Logistics Cluster South,relocation_inquiry,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Good morning, I'm calling to enquire about available space.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a office.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Logistics Cluster South.
Agent: May I know your size requirement?
Caller: Approximately 4000 square feet.
Caller: We're relocating from another emirate, what do we need to know?
Agent: The rate varies by location and specifications. I can provide detailed pricing.
Caller: What are the logistics for moving large equipment in?
Agent: We have dedicated loading bays and can arrange after-hours access for moves.
Caller: Is there help with the setup process for new tenants?
Agent: I can include all those details in the proposal.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,1
IP-202511-00028,2025-11-28 22:03:24,Tenant Support,Premium,Office,Zone B – SME Offices,internet and phone lines down for the entire office,high,medium-high,False,True,"Agent: Support Desk, good morning.
Tenant: Yes, we've had internet and phone lines down for the entire office since yesterday.
Tenant: we have no connectivity at all
Tenant: I reported this before and nothing was done about it.
Tenant: This is the third time I'm reporting this.
Agent: I understand. Can I confirm your location?
Tenant: Zone B – SME Offices, office.
Tenant: Our staff can't work properly because of this.
Agent: I've escalated this to our senior maintenance team.
Agent: Expect a callback within 2 hours with an update.
Tenant: I expect this to be resolved quickly.
Agent: Absolutely. We'll keep you updated every step of the way.",0.6,1.0,"1,35,41,43"
IP-202601-00029,2026-01-06 02:12:24,Leasing Inquiry,Prospective,Retail Store,Zone A – Corporate Offices,casual_quick,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hi there, I'm looking for some space to rent.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a retail store.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Zone A – Corporate Offices.
Agent: May I know your size requirement?
Caller: Approximately 1500 square feet.
Caller: Do you have anything smaller available?
Agent: I can include all those details in the proposal.
Caller: Is parking included?
Agent: Parking allocation depends on the unit size, typically 1 space per 1000 sq ft.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,"1,27"
IP-202512-00030,2025-12-10 02:44:24,Leasing Inquiry,Prospective,Retail Store,Logistics Cluster South,relocation_inquiry,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Good morning, I'm calling to enquire about available space.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a retail store.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Logistics Cluster South.
Agent: May I know your size requirement?
Caller: Approximately 1500 square feet.
Caller: Is there help with the setup process for new tenants?
Agent: I can include all those details in the proposal.
Caller: What are the logistics for moving large equipment in?
Agent: We have dedicated loading bays and can arrange after-hours access for moves.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,1
IP-202512-00031,2025-12-29 03:15:24,Leasing Inquiry,Prospective,Office,Community Retail Strip,casual_quick,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hi there, I'm looking for some space to rent.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a office.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Community Retail Strip.
Agent: May I know your size requirement?
Caller: Approximately 8000 square feet.
Caller: Do you have anything smaller available?
Agent: I can include all those details in the proposal.
Caller: Can you send me the details?
Agent: I can include all those details in the proposal.
Caller: Is parking included?
Agent: Parking allocation depends on the unit size, typically 1 space per 1000 sq ft.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,"1,27"
IP-202512-00032,2025-12-09 17:26:24,Tenant Support,VIP,Warehouse,Community Retail Strip,suggestion for better directional signage in the building,low,low,False,False,"Agent: Support Desk, how may I assist you today?
Tenant: Hi, I need to report a problem with our unit.
Agent: Of course. Could you describe the issue?
Tenant: We are dealing with suggestion for better directional signage in the building.
Agent: I see. How long has this been going on?
Tenant: It's been happening for over a week.
Agent: And can you tell me which unit you're in?
Tenant: We're in Community Retail Strip, the warehouse.
Agent: Is this affecting your ability to operate?
Tenant: we've had a few clients arrive late because they got confused
Agent: Thank you for letting us know. I've added this to our task list.
Agent: It should be addressed within the next few business days.
Tenant: We appreciate the fast turnaround.
Agent: You're welcome. We'll take care of this.",0.19999999999999996,1.0,
IP-202512-00033,2025-12-21 19:14:24,Leasing Inquiry,Prospective,Retail Store,Community Retail Strip,casual_quick,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hi there, I'm looking for some space to rent.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a retail store.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Community Retail Strip.
Agent: May I know your size requirement?
Caller: Approximately 10000 square feet.
Caller: Is parking included?
Agent: Parking allocation depends on the unit size, typically 1 space per 1000 sq ft.
Caller: Can you send me the details?
Agent: I can include all those details in the proposal.
Caller: That sounds good. Please send the details.
Agent: I'll email you the floor plans, pricing, and lease terms within the hour.
Caller: Thank you.",0.6,0.55,"1,27"
IP-202601-00034,2026-01-30 00:49:24,Tenant Support,Standard,Office,Logistics Cluster North,main entrance security breach,critical,high,True,False,"Agent: Support Desk, good morning.
Tenant: Yes, we've had main entrance security breach for nearly a month now.
Tenant: our security is compromised
Agent: I understand. Can I confirm your location?
Tenant: Logistics Cluster North, office.
Tenant: We're losing money every day this goes unresolved.
Tenant: This is a health and safety risk for our staff.
Agent: Absolutely. I'm escalating this to our safety team immediately.
Agent: I'm escalating this to our emergency response team immediately.
Agent: You should receive a call within 15 minutes.
Tenant: I really hope I don't have to call again about this.
Agent: I understand your frustration. We'll make it a priority.",0.3,1.0,"1,30,33,48"
IP-202601-00035,2026-01-14 23:59:24,Tenant Support,Premium,Office,Logistics Cluster North,persistent water leakage damaging office equipment,high,medium-high,False,False,"Agent: Support Desk, good morning.
Tenant: Yes, we've had persistent water leakage damaging office equipment since we moved in three months ago.
Tenant: we had to move desks away from the leak
Agent: I understand. Can I confirm your location?
Tenant: Logistics Cluster North, office.
Tenant: Our staff can't work properly because of this.
Agent: I've escalated this to our senior maintenance team.
Agent: Expect a callback within 2 hours with an update.
Tenant: I expect this to be resolved quickly.
Agent: Absolutely. We'll keep you updated every step of the way.",0.6,1.0,"1,8,9,35"
IP-202512-00036,2025-12-31 23:09:24,Leasing Inquiry,Prospective,Warehouse,Logistics Cluster South,urgent_expansion,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I need to find space urgently.
Caller: Our current location is no longer suitable.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a warehouse.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Logistics Cluster South.
Agent: May I know your size requirement?
Caller: Approximately 4000 square feet.
Caller: What's available immediately?
Agent: I can include all those details in the proposal.
Caller: Can we move in within two weeks?
Agent: We have immediate availability in several units.
Caller: What's the fastest we can sign?
Agent: We have immediate availability in several units.
Caller: We need space urgently for expansion
Agent: I can include all those details in the proposal.
Caller: Can we schedule a viewing today?
Agent: Absolutely. I can arrange a viewing this afternoon.
Caller: Perfect, please send me the details.",0.3,1.0,"1,49"
IP-202601-00037,2026-01-20 19:43:24,Leasing Inquiry,Prospective,Office,Community Retail Strip,urgent_expansion,,,False,False,"Agent: Industrial Park Leasing Desk, good morning.
Caller: Hello, I need to find space urgently.
Caller: Our current location is no longer suitable.
Agent: Certainly. Are you looking for office, warehouse, or retail space?
Caller: We need a office.
Agent: Do you have a preferred location within the park?
Caller: Ideally in Community Retail Strip.
Agent: May I know your size requirement?
Caller: Approximately 25000 square feet.
Caller: Can we schedule a viewing today?
Agent: I can include all those details in the proposal.
Caller: Can we move in within two weeks?
Agent: We have immediate availability in several units.
Caller: What's the fastest we can sign?
Agent: We have immediate availability in several units.
Caller: What's available immediately?
Agent: I can include all those details in the proposal.
Caller: Can we schedule a viewing today?
Agent: Absolutely. I can arrange a viewing this afternoon.
Caller: Perfect, please send me the details.",0.3,1.0,"1,49"
