ticket_type,subject,text,domain,issue_severity,issue_urgency,business_impact,safety_concern,source
complaint,Inadequate IT Support Response Time,The delay from our on-site technician is unacceptable for my team's productivity. They took over two weeks to address even minor issues we had reported last month.,IT and Office Technology Support,high,high,high,False,phi4_safety_synth
complaint,Parking Issue - Limited Spots Available for Multiple Days,We have repeatedly encountered issues finding available spots to park our fleet vehicles at this location over several days due to an insufficient number of allocated spaces.,office parking and access control,high,medium,high,False,phi4_safety_synth
complaint,Water Leak - Emergency Repair Needed,There is an active water leak coming from under the ceiling near my desk area causing puddles on the floor which could lead to damage of electronic equipment if left unattended.,office utilities and building services,high,high,medium,True,phi4_safety_synth
complaint,Inadequate Wi-Fi at Shared Workspace,I am experiencing severe disruption to my work due to poor internet connectivity provided by your shared workspace facilities. It's essential for our daily tasks that require consistent access online.,shared workspace and coworking,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at TechHub Office Space,I was injured last night due to an exposed wire behind our desk that caused me minor burns on my hand when I brushed against it while reaching for some documents.,Shared Workspace & Coworking Facilities Operations,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space Lease Location,The landlord failed to repair an exposed wire behind our leased premises' entrance leading to frequent flickering lights causing concern among employees.,office building management and facilities,high,high,low,True,phi4_safety_synth
complaint,Parking Issue - Late Fee Imposed Incorrectly,I am writing to complain about an incorrect late fee charge on my last visit due to improper handling of our monthly parking pass system.,office parking and access control,medium,high,medium,False,phi4_safety_synth
complaint,Plumbing Issue - Mold Growth,We have noticed mold growth around our bathroom's plumbing fixtures which poses serious health risks to employees who frequent these areas.,office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,IT Support Room Unsafe Conditions,The IT technician's room has exposed wires scattered around which pose an immediate fire hazard due to frequent short circuits observed over recent weeks.,it and office technology support,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard Concern at Office Space,I am extremely concerned about an apparent wiring problem near our HVAC unit that has caused sparking recently. This poses serious fire risks if it is left unchecked.,office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,Inadequate Heating System,"The heating system installed by your company is inadequate for maintaining comfortable temperatures during winter months. Despite being promised efficient climate control at signing of our lease, we are experiencing dangerously low indoor temperatures.",office leasing and tenant support,high,high,high,False,phi4_safety_synth
complaint,Shared Workspace Noise Levels,The noise levels at our shared workspace have significantly increased recently due to an adjacent tenant hosting frequent loud meetings without soundproof barriers. This disruption is affecting my team's productivity.,shared workspace and coworking,medium,medium,medium,False,phi4_safety_synth
complaint,Maintenance Delay - Office Building A101,The ongoing delay to repair our broken elevator has severely hindered daily work schedules for staff across floors two through five. We require immediate action from maintenance teams.,office building management and facilities,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space,We have encountered frequent power outages due to faulty wiring within our leased premises downtown which poses an imminent threat of electrocution or fire hazards.,office leasing and tenant support,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space Location,The recent installation of heavy-duty lighting fixtures near power outlets has caused intermittent shocks when touching metal objects around these areas – extremely dangerous! We need immediate action to ensure our team's well-being.,office leasing and tenant support,high,high,low,True,phi4_safety_synth
complaint,Non-functional elevator,The main entrance's elevator is out of service for weeks now! We have to use an alternative exit that's inconveniently far away from our offices.,commercial property and workspace rental,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Commercial Property,"The commercial property's main entrance is covered by an exposed live wire due to recent renovations. The power supply has been disrupted multiple times today, causing significant inconvenience for tenants relying on stable electricity.",commercial property and workspace rental,high,high,high,True,phi4_safety_synth
complaint,Gas Leak Concern,We've noticed an odor resembling gas throughout our floor today that has gone unchecked for hours now.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Non-functional Parking Gate,The automatic gate for our main entrance is malfunctioning again! We can't let employees park their cars anymore because it's locked tight every morning. This has been an ongoing problem that disrupts workdays since last week.,office parking and access control,high,high,high,True,phi4_safety_synth
complaint,Heating System Malfunction,The heating system stopped working last night causing temperatures to drop significantly below comfortable levels for our team who worked late into the evening.,office utilities and building services,high,high,high,False,phi4_safety_synth
complaint,Leased Office Space Maintenance Issue,Our leased space has been experiencing frequent power outages over the past month which disrupt our workflow significantly.,office leasing and tenant support,medium,high,high,False,phi4_safety_synth
complaint,Office Space A/C Issue,The air conditioning unit for our leased commercial space is malfunctioning again last week despite multiple service calls by your maintenance team. This has caused discomfort to all employees over several days.,commercial property and workspace rental,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space,The recent lease signing for my company included an address that has since been converted into commercial space without proper renovations to current building codes! We're dealing with severe wiring issues causing frequent blackouts which poses serious risks of fire hazards.,office leasing and tenant support,high,high,high,True,phi4_safety_synth
complaint,Malfunctioning Car Park Gate,The car park gate at our building's entrance is malfunctioning again today! It's preventing me from accessing my unit on time for work-related meetings. This persistent fault causes serious delays to daily routines.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard Concern,The recent storm has caused serious damage to our rooftop equipment including exposed wiring which poses an immediate fire threat if contact is made.,Office Building Management and Facilities,high,high,medium,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space Rental Location,The rented commercial space has an exposed power cable near common areas posing serious electrocution risks to employees using electronic devices.,commercial property and workspace rental,high,high,high,True,phi4_safety_synth
complaint,Unreliable HVAC System,The air conditioning unit has malfunctioned repeatedly throughout July causing discomfort for all staff members working indoors.,office leasing and tenant support,medium,high,high,False,phi4_safety_synth
complaint,Unsafe Parking Condition Reported,A car was found towed overnight due to improper use of designated handicap spots last night at Parkside Office Complex. This raises concerns for non-compliance among employees potentially leading to unsafe driving conditions.,Office Parking and Access Control,high,medium,low,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space,The newly leased commercial space has an exposed wiring problem that poses severe risks of electrocution to employees working late hours.,office leasing and tenant support,high,high,high,True,phi4_safety_synth
complaint,Leaky Ceiling,The ceiling over our conference room is leaking profusely every time it rains outside. We need this fixed soon or it'll damage important documents stored here.,commercial property and workspace rental,high,high,medium,False,phi4_safety_synth
complaint,Utility Failure - AC Short Circuit,The central air conditioning unit malfunctioned last night causing discomfort among employees due to excessive heat within our workspace.,office utilities and building services,medium,high,medium,False,phi4_safety_synth
complaint,Water Leakage Issue,We've been dealing with water leaking from under the ceiling for several hours now! It's causing damage to our equipment and materials on display.,shared workspace and coworking,high,high,high,True,phi4_safety_synth
complaint,Inadequate Office Facilities Management,"The newly installed carpets have significant wear marks showing they haven't been properly maintained for over six months now. Additionally, we reported multiple water leaks last week that were still unresolved by maintenance staff.",office building management and facilities,medium,high,medium,False,phi4_safety_synth
complaint,IT Support Delay Issue,The IT team has been unresponsive to our requests for assistance over the past week. Our productivity is being severely impacted due to delayed technical solutions.,IT and Office Technology Support,high,high,high,False,phi4_safety_synth
complaint,Parking Space Issue,I have repeatedly parked my car here for over six months without any trouble until recently when I found out that I've been occupying space reserved solely for employees of XYZ Company on Wednesdays due to an oversight by our management team.,Office Parking and Access Control,medium,high,low,False,phi4_safety_synth
complaint,Fire Hazard at Office Lease Location #12345,"I was recently alerted to an ongoing fire near our leased premises located on East Main Street, which is causing significant panic among tenants. We need immediate action from property management teams before it escalates.",Office Leasing and Tenant Support,high,high,high,True,phi4_safety_synth
complaint,Office Space HVAC Malfunction,"The heating, ventilation, and air conditioning system is faulty causing uncomfortable temperatures inside our rented space. This needs immediate attention to ensure we can maintain productivity for our employees.",commercial property and workspace rental,high,high,high,False,phi4_safety_synth
complaint,Plumbing Hazard at Office Space Lease Location,We have been experiencing intermittent flooding issues from leaky pipes beneath our leased premises over the past week which poses an immediate threat to company property.,office building management and facilities,high,high,high,True,phi4_safety_synth
complaint,Shared Workspace Hazard Concern,Recently I noticed flickering lights at our shared workspace which might indicate an impending electrical failure or fire hazard. This is extremely concerning for everyone's health.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Parking Issue,The assigned employee spot for my boss is obstructed by another vehicle every day causing inconvenience during her arrival at work.,office parking and access control,medium,high,medium,False,phi4_safety_synth
complaint,Unsafe Vehicle Entry Point,The designated entry point for vehicles near our building is dangerously close to an active utility pole which recently sparked due to lightning damage. This poses immediate fire hazards potentially affecting both vehicle occupants and pedestrians.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Unsafe entrance leading to possible vehicle damage,The main entry gate has fallen apart completely making it impossible for vehicles entering or exiting safely without risking significant property harm.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Inadequate Heating System,The heating system is failing to maintain adequate temperatures during winter months causing discomfort for occupants.,office building management and facilities,medium,high,high,False,phi4_safety_synth
complaint,Electrical Hazard Issue,The recent thunderstorm caused an exposed wire on our copier machine to short out repeatedly throughout today causing disruptive outages for several departments relying heavily upon its use.,IT & Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space Rental Location,We have been experiencing frequent power outages for weeks now due to faulty wiring installed by your company. It poses an imminent threat of fire which could potentially injure employees or result in catastrophic damage.,commercial property and workspace rental,high,high,high,True,phi4_safety_synth
complaint,Parking Space Availability Issue,We've repeatedly struggled to find available spaces at our downtown location despite having reserved spots for several months now due to inadequate space allocation by management.,office parking and access control,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Office Building,We've noticed flickering lights indicating possible wiring issues that could lead to an outage or worse if ignored.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Parking Space Shortage Issue,We're consistently finding our allotted monthly number of employee parking spaces insufficient due to overcrowding from new hires who haven't been assigned their spots yet.,office parking and access control,medium,medium,medium,False,phi4_safety_synth
complaint,Parking Ticket Issue,I received an unjustified parking citation for my company van today because it was parked too close to another vehicle during our weekly meetings at this spot. This is happening frequently despite previous confirmations that we were permitted here.,office parking and access control,medium,high,high,False,phi4_safety_synth
complaint,Inadequate Heating System During Winter Months,We have repeatedly experienced uncomfortable working conditions due to insufficient heating during winter months at our leased premises on Pine Street Suite B3-F12. This has caused disruptions leading employees arriving late for work.,Office Building Management and Facilities,medium,high,medium,False,phi4_safety_synth
complaint,Heating Issue at Office Space Lease Agreement #4567A,"The central heating system for our leased space stopped working last night after we've occupied it since January. Despite multiple calls to maintenance over the past week without resolution, we are now facing uncomfortable temperatures during winter months which could affect staff productivity.",office leasing and tenant support,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard Concern at TechHub Space A11,The shared kitchen area has multiple exposed wires on countertops that pose an immediate fire threat! We've warned maintenance about this for weeks without any action taken to rectify it.,shared workspace and coworking,high,high,high,True,phi4_safety_synth
complaint,IT Support Delay,Our IT department has been unresponsive to critical system maintenance requests for over two weeks now! This delay is severely impacting our day-to-day productivity.,it and office technology support,high,high,high,False,phi4_safety_synth
complaint,Server Room Overheating Risk,The server room is excessively hot to touch near several units indicating overheating risks that could lead to equipment failure or even fires.,IT and Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard at Office Utilities Location,We have encountered an immediate fire threat due to exposed wiring behind our office's main utility closet which has caused sparks recently.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Inadequate Workspace Allocation,I have been allocated an unsuitable desk space that doesn't provide enough room to work comfortably or store my belongings securely.,shared workspace and coworking,medium,medium,medium,False,phi4_safety_synth
complaint,Leaky A/C Unit,The central air conditioning unit is leaking water inside our conference room floorboards during meetings over the past week.,office utilities and building services,high,high,high,False,phi4_safety_synth
complaint,Non-functional Office Computer Equipment,The computer equipment provided by IT is malfunctioning constantly which prevents me from completing my work efficiently. This persistent downtime has led to significant delays on our project timelines.,IT and Office Technology Support,high,high,high,True,phi4_safety_synth
complaint,Plumbing Hazard at Office Space Lease Location,Recently moved into my new leased office space downtown to start our IT consultancy firm on March 25th under Mr. Smith's management of ABC Property Management Services Ltd. Unfortunately upon arrival this morning I discovered severe water damage from recent heavy rainfall causing major leaks throughout multiple offices including ours which poses serious health risks due to mold growth! We urgently need relocation assistance until repairs are completed.,office leasing and tenant support,high,high,high,True,phi4_safety_synth
complaint,Parking Space Shortage Issue,We've repeatedly encountered an insufficient number of available spaces at our regular meeting times leading to delays for some team members arriving on time.,office parking and access control,medium,high,medium,False,phi4_safety_synth
complaint,Inadequate Emergency Exits at XYZ Cowork Space,The emergency exit signs are poorly lit making it difficult to locate exits quickly during an evacuation drill last Friday.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Noise Level Issue at XYZ Coworking Space,The noise levels during peak hours are intolerably high despite our prior experience indicating otherwise. The constant chatter from surrounding workspaces significantly disrupts my concentration.,shared workspace and coworking,medium,medium,medium,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space A234,We encountered an immediate fire threat when we noticed sparks coming from some exposed wiring near our desks yesterday afternoon.,shared workspace and coworking,high,high,high,True,phi4_safety_synth
complaint,Office Space Ventilation Issue,"The ventilation system at our leased commercial space has been inadequate for weeks now, causing discomfort among staff due to stagnant air quality.",commercial property and workspace rental,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard Concern,"The main aisle has been cluttered for weeks now due to poor maintenance practices by management, posing an imminent fire hazard that could lead to catastrophic consequences if unchecked.",shared workspace and coworking,high,high,high,True,phi4_safety_synth
complaint,Unsafe Parking Situation Reported,A car was recently left blocking several spaces near the main entrance overnight last night. This poses an immediate obstruction threat for incoming staff tomorrow morning.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Water Leak,A persistent water leak has been disrupting my work area for several hours now! The constant dripping is causing damage to nearby documents on my desk.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Parking Hazard Reported,I witnessed an incident where two cars nearly collided due to careless driving near the main entrance last night. The driver of car B swerved dramatically just short of hitting car A's passenger door.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Inadequate Heating System,We have been experiencing very cold temperatures this winter due to our heating system failing multiple times recently.,commercial property and workspace rental,high,high,high,False,phi4_safety_synth
complaint,Parking Lot Closure Issue,Our company relies heavily on our leased space's proximity to public transport due to its importance for daily commuting of employees. The recent closure without prior notice has caused significant inconvenience leading up to crucial project deadlines.,office parking and access control,medium,high,high,False,phi4_safety_synth
complaint,Shared Workspace HVAC Issue,The heating system is malfunctioning again this week during winter months! I've contacted maintenance multiple times without any resolution – it's affecting our productivity.,shared workspace and coworking,medium,high,medium,False,phi4_safety_synth
complaint,Parking Issue - Lack of Accessibility Options,We've encountered problems finding accessible parking spaces for disabled employees despite multiple locations on our floor being marked for accessibility compliance.,office parking and access control,medium,high,medium,False,phi4_safety_synth
complaint,Electrical Hazard at TechHub Office Space,We were recently alarmed by flickering lights emanating from an unknown source within our shared desk space. This has raised concerns about potential fire hazards or significant equipment damage.,shared workspace and coworking,high,high,low,True,phi4_safety_synth
complaint,Malfunctioning Security Gate,The automated security gate for our company's main entrance is malfunctioning again! We've been locked out multiple times this week due to technical issues. This disrupts both daily commutes of employees and crucial meetings scheduled at short notice.,office parking and access control,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space Lease Location,"Upon arrival for our new lease agreement signing next week, we noticed exposed wiring near where we'll set up computers daily! This is extremely dangerous given potential electrocution risks.",office leasing and tenant support,high,high,low,True,phi4_safety_synth
complaint,Plumbing Issue,The plumbing issues have persisted for weeks now causing water damage to several offices' ceilings.,office building management and facilities,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard Reported,We have reported an exposed wiring situation near our main entrance which poses immediate electrocution risks to all occupants.,Office Building Management and Facilities,high,high,low,True,phi4_safety_synth
complaint,Shared Workspace Issue - Noise Level,The noise levels at our desk are intolerably high due to frequent loud conversations from adjacent workstations. It's disrupting my concentration and productivity.,shared workspace and coworking,medium,high,medium,False,phi4_safety_synth
complaint,Furnace Malfunction at Office Lease Location,The heating unit malfunctioned last night causing significant damage to my rented space's carpeting due to overheating. I need immediate repair services.,Office Leasing and Tenant Support,high,high,low,True,phi4_safety_synth
complaint,Inadequate Workspace Security,The shared workspace at Parkside Offices lacks proper security measures which is worrying for our team working late hours.,shared workspace and coworking,medium,medium,medium,False,phi4_safety_synth
complaint,IT Equipment Malfunction - Safety Risk,The malfunctioning projector was emitting sparks when powered on last week which posed an electrocution threat to anyone nearby.,it and office technology support,high,high,high,True,phi4_safety_synth
complaint,Blocked Emergency Exit Pathway,The recently installed barrier near exit G obstructs direct pedestrian pathways leading to our building's emergency exits. This poses an immediate threat during evacuation procedures.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Lack of Parking Space,I recently moved into my new office space without proper parking arrangements being made for me or other tenants. This is unacceptable given that multiple businesses are located nearby.,office leasing and tenant support,medium,high,medium,False,phi4_safety_synth
complaint,HVAC Malfunction,"The central heating unit stopped working last night without any prior warning signs or alarms being triggered. As our employees depend heavily on this system for comfort during winter months, it is imperative that we address this malfunction immediately to prevent discomfort among staff.",Commercial Property and Workspace Rental,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard Concern at Leased Office Space,The recently leased premises have an exposed wiring problem near common areas that poses immediate fire hazards or electrocution risks for tenants.,Office Leasing and Tenant Support,high,high,low,True,phi4_safety_synth
complaint,Unreliable HVAC System,"The heating, ventilation, and air conditioning system is frequently malfunctioning during winter months causing significant discomfort for tenants.",commercial property and workspace rental,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard - Water Damage Risk,We noticed water pooling near our HVAC unit today due to malfunctioning plumbing fixtures upstairs. There's also noticeable sparking coming from some outlets around here which could indicate an imminent fire hazard or electrocution.,Office Utilities and Building Services,high,high,medium,True,phi4_safety_synth
complaint,HVAC Malfunction,The air conditioning unit stopped working yesterday afternoon causing discomfort for everyone on site during peak heat hours.,office utilities and building services,medium,high,medium,False,phi4_safety_synth
complaint,Heating Failure During Cold Spell,The heating system failed during an unusually cold spell last night causing discomfort to all staff members present at that time.,office utilities and building services,high,high,high,False,phi4_safety_synth
complaint,Inadequate Meeting Space,The current meeting space is too cramped for our team size during brainstorming sessions. We need more room to accommodate everyone comfortably without disrupting productivity.,shared workspace and coworking,medium,high,medium,False,phi4_safety_synth
complaint,Noise Level Issue,The noise levels from neighboring offices are consistently disruptive during working hours which is affecting concentration and productivity.,shared workspace and coworking,medium,medium,medium,False,phi4_safety_synth
complaint,Emergency Parking Access Issue,The emergency exit is blocked by construction materials after hours which poses an immediate fire evacuation risk.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,IT Support Delay,The delay caused by IT support to fix our network issues has severely impacted my team's productivity this week.,it and office technology support,high,high,high,False,phi4_safety_synth
complaint,Non-functional Elevator Access Point,"The elevator malfunctioned repeatedly during my recent visit to TechSpace Co-working Hub on multiple occasions today, causing significant disruption for our team of six who rely heavily on accessing upper floors daily.",shared workspace and coworking,medium,high,medium,False,phi4_safety_synth
complaint,Faulty HVAC System,The heating system is malfunctioning during winter months causing discomfort to all employees working near windows.,office utilities and building services,high,high,high,False,phi4_safety_synth
complaint,Inadequate Restroom Facilities,The restrooms on every floor of our leased space are insufficiently maintained leading to unsanitary conditions that violate health codes.,office building management and facilities,high,high,high,False,phi4_safety_synth
complaint,Heating Issue,The central heating system has been intermittently operational for weeks now which is affecting my productivity at work due to cold temperatures.,office utilities and building services,high,high,high,False,phi4_safety_synth
complaint,Water Leak Underfoot,We've encountered frequent water leaks underfoot causing slippery conditions leading to minor injuries amongst staff members.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,IT Equipment Malfunction - Electrical Hazard Risk,The malfunctioning server room equipment has caused overheating of our IT hardware leading to potential fire hazards within the premises.,it and office technology support,high,high,high,True,phi4_safety_synth
complaint,Electrical Hazard at Office Space Lease Location,We have been experiencing intermittent power outages every afternoon for the past week due to faulty wiring behind our cubicles on Floor B12-B13. The situation poses an immediate fire or electrocution threat which needs rectification urgently.,office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,Lease Termination Issue,The lease was unexpectedly terminated without proper notice or justification on March 28th at noon by ABC Leasing Corp. demanding immediate relocation of my tenants.,office leasing and tenant support,high,high,high,False,phi4_safety_synth
complaint,Parking Space Availability Issue,I've been consistently finding my assigned parking space taken despite there being plenty of spaces available elsewhere on campus for other departments or individuals who also need them urgently.,office parking and access control,medium,high,medium,False,phi4_safety_synth
complaint,Unsafe wiring condition at worksite,We noticed exposed wires on our floor today which could lead to electrocution or an electric shock if someone were careless enough to step onto it.,Office Building Management and Facilities,high,medium,low,True,phi4_safety_synth
complaint,IT Support Delay,The IT department has failed to provide timely assistance for resolving our critical software issues over several days now. This is severely impacting my daily workflow.,It and Office Technology Support,high,high,high,False,phi4_safety_synth
complaint,Furnace Issue,"The central heating unit has been malfunctioning for days now, causing significant discomfort among employees due to low temperatures. This could potentially lead to frostbite injuries if it continues unchecked.",Office Building Management and Facilities,high,high,low,True,phi4_safety_synth
complaint,Lease Termination Issue,We need to terminate our lease immediately due to unforeseen circumstances at work which require relocation sooner than expected.,Office Leasing and Tenant Support,high,high,high,False,phi4_safety_synth
complaint,Flickering lights causing distraction at Xyz Coworkspace,The overhead fluorescent lighting has been flickering excessively for several days now which is distracting work processes. It's becoming quite an inconvenience especially during late-night shifts.,shared workspace and coworking,medium,high,low,True,phi4_safety_synth
complaint,Unsafe Parking Lot Condition,"The entrance to our main lobby has been obstructed by debris from recent construction work nearby for over two weeks now! Not only is it creating unnecessary traffic congestion within limited hours of operation, it's also posing serious risks due to loose gravel scattered across pathways leading up to offices.",office parking and access control,high,high,high,True,phi4_safety_synth
complaint,HVAC Issue - Office A123,The heating system is malfunctioning again this winter's peak! It's freezing inside our offices despite setting multiple temperatures higher than usual.,office utilities and building services,high,high,high,False,phi4_safety_synth
complaint,Noise Complaint - Shared Workspace A123,The noise levels have become intolerable lately due to frequent meetings held by neighboring tenants using loudspeakers or high-volume speakers without soundproof barriers.,shared workspace and coworking,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space,We encountered an immediate fire threat today when we noticed sparks coming from near our desks after hours of working late night shifts.,Office Leasing and Tenant Support,high,high,low,True,phi4_safety_synth
complaint,Inadequate Workspace Facilities,The newly leased commercial space has insufficient meeting room setups for our team needs. We require additional tables or partitions to facilitate proper meetings.,commercial property and workspace rental,medium,high,high,False,phi4_safety_synth
complaint,Inadequate IT Support Response Time,The delay from our on-site technician to resolve my computer issues is unacceptable. It's impacting productivity for several team members who rely heavily on their workstations.,IT and Office Technology Support,medium,high,medium,False,phi4_safety_synth
complaint,Inadequate IT Support Response Time,The delay from our on-site technician to resolve network issues has significantly impacted my workflow today.,IT and Office Technology Support,medium,high,medium,False,phi4_safety_synth
complaint,Leased Office Space Issue - Power Outage Disruption,We experienced an unexpected power outage last night which interrupted our work for several hours leading to significant productivity losses.,Office Leasing and Tenant Support,medium,medium,medium,False,phi4_safety_synth
complaint,Parking Hazard Reported,A recently installed electric vehicle charging station is emitting sparks intermittently due to faulty wiring which poses an immediate fire hazard near our main entrance.,office parking and access control,high,high,low,True,phi4_safety_synth
complaint,Parking Issue,The designated handicap accessible spots are consistently occupied by non-compliant vehicles despite being marked for disabled drivers exclusively.,office parking and access control,high,medium,high,False,phi4_safety_synth
complaint,Noise Level Disruption,The constant noise levels from ongoing construction work adjacent to our shared space have disrupted my ability to concentrate for extended periods necessary for completing projects on time.,shared workspace and coworking,high,high,high,False,phi4_safety_synth
complaint,Electrical Hazard at Office Space A101,There has been an immediate concern for personal harm due to exposed wiring near our break area that poses severe electrocution risks if anyone accidentally touches it.,office utilities and building services,high,high,low,True,phi4_safety_synth
complaint,Electrical Hazard at CoWorking Space A1,We have experienced an immediate power outage due to faulty wiring beneath our desks! The situation has caused significant disruption for all businesses operating nearby.,Shared Workspace & Coworking Operations,high,high,high,True,phi4_safety_synth
complaint,Plumbing Issue - Potential Flood Risk,The ceiling above my desk is dripping incessantly every hour on the dot since yesterday afternoon! I fear this could quickly escalate into a serious flooding situation affecting our entire floor.,office utilities and building services,high,high,high,True,phi4_safety_synth
complaint,Water Leak Hazard Reported,A significant water leak has been reported near the basement entrance of our leased space on Maple Street causing potential damage to my company's equipment stored there. Immediate action is required to prevent further harm.,Office Building Management and Facilities,high,medium,low,True,phi4_safety_synth
complaint,Building Water Leak - Urgent Repair Needed,We have noticed water seeping under our door leading to potential mold growth inside my workspace area. This needs immediate attention before it damages more property or endangers health.,office utilities and building services,high,high,medium,True,phi4_safety_synth
complaint,Unsafe Parking Conditions - Electrical Hazard Risk,We have noticed multiple instances of unsecured power cables lying across driveways posing serious electrocution risks to staff arriving at work by car or motorcycle.,Office Parking and Access Control,high,high,medium,True,phi4_safety_synth
