ticket_type,subject,text,domain,issue_severity,issue_urgency,safety_concern,business_impact
inquiry,Lost Luggage,Hey there! I just arrived at my hotel but can't find my suitcase anywhere around here.,reception and front desk services,,,,
complaint,Lost Reservation Confirmation,I'm reaching out because I lost my reservation confirmation email after booking through your website last night at around 7 PM. My name is John Smith; I'm scheduled as Mr. Johnson on April 15th starting sharp at noon. Could someone please resend me the necessary information? I've tried checking back online multiple times without success.,reception and front desk services,,,,
complaint,Neglected Office Space,Seriously? Another coffee spill on my desk because someone forgot to mop today?,office cleaning and janitorial services,,,,
inquiry,Elevator Malfunction,Our elevator has stopped working intermittently since yesterday afternoon; urgent assistance required.,office building management and facilities,,,,
complaint,Complaints About Office Air Conditioning,Hey there! Our AC has decided to take a vacation without notice again today.,office utilities and building services,,,,
complaint,Disputed Property Tax Increase,Received notice last month showing my property's assessed value has doubled without explanation; I believe there's been an error.,business rates and property tax disputes,,,,
complaint,Complaints About Office Air Conditioning,Our air conditioning has stopped working again; very uncomfortable without AC.,office utilities and building services,,,,
inquiry,Unclear Cleaning Schedule,I'm really puzzled because I noticed my desk is still dusty despite having someone clean last Monday; can anyone clarify if there's another scheduled date?,office cleaning and janitorial services,,,,
complaint,Pest Infestation Issue,Found cockroaches crawling around my desk! Need immediate action!,office leasing and tenant support,,,,
inquiry,Wi-Fi Connectivity Issues,"I've encountered persistent problems connecting my laptop's Wi-Fi at the co-working space today; despite multiple attempts across different devices, none seem able to establish a stable connection.",shared workspace and coworking,,,,
complaint,Lost Luggage,My suitcase is missing since I arrived at my hotel last night! I've checked all rooms but can't find anything.,reception and front desk services,,,,
complaint,Faulty Air Conditioning Unit,My office's AC stopped working last night; urgent repair needed.,commercial property and workspace rental,,,,
complaint,Unclean Shared Kitchen,I've noticed mold growing on surfaces around the communal fridge; please address maintenance urgently.,office leasing and tenant support,,,,
inquiry,Broken Elevator,I'm at floor five right now because my elevator broke down again last night; I can't reach higher floors without using stairs.,office building management and facilities,,,,
complaint,Power Outage at Office,Our entire floor is without power since midnight; critical work can't continue!,office utilities and building services,,,,
inquiry,Lost Reservation Confirmation,I'm terribly sorry if my reservation confirmation has gone missing; I really needed those instructions as I'm arriving tomorrow.,reception and front desk services,,,,
complaint,Wi-Fi connectivity at desk,Hey there! My Wi-Fi keeps dropping out every few minutes right where I'm sitting.,shared workspace and coworking,,,,
inquiry,Issue with new carpet installation,"Hello, I recently moved into my newly renovated apartment on March 15th where they installed what appeared to be high-quality carpeting throughout each room. However, I've noticed several areas along both walls have noticeable fraying edges since moving in last weekend; these spots seem quite pronounced compared to other parts of the floor which appear undamaged despite heavy foot traffic daily as I'm currently renting here.",office fit-out and renovation,,,,
complaint,Broken Printer Connectivity,This is absolutely ridiculous! I've tried everything suggested online but my printer won't connect anymore since yesterday afternoon. I have urgent documents needing printing before tomorrow's meeting at work—this can't keep going on!,IT and office technology support,,,,
inquiry,Non-compliant Fire Extinguisher,Our fire extinguisher expired last month; I would appreciate guidance on how to replace it according to OSHA standards.,office health and safety compliance,,,,
complaint,Lease Termination Notice Concern,Received unexpected early termination clause notification; my business has always met payment deadlines.,office leasing and tenant support,,,,
inquiry,Inadequate Fire Extinguishers,I've noticed several fire extinguishers missing tags; can they get replaced ASAP?,office health and safety compliance,,,,
inquiry,Elevator Outage,My entire floor is stuck due to the broken lift! We have important meetings today; please advise on immediate steps!,office leasing and tenant support,,,,
complaint,Power Outage at Office,This is incredibly frustrating! Our entire floor has lost power since early afternoon due to what seems like either bad wiring or maintenance work gone wrong. We've tried resetting breakers but there's still complete darkness here; I can't even get my computer on now which means I'm stuck without access to important files until someone can fix this ASAP!,office utilities and building services,,,,
complaint,Confused About Property Tax Increase,I'm really struggling here; my property's value assessment seems off compared to last year’s bill! I thought there were caps on how much they can raise taxes annually? Can someone explain why I'm seeing such a huge jump without understanding what changed?,business rates and property tax disputes,,,,
complaint,Unrecognized Visitor Detected,I'm reaching out because I noticed someone unfamiliar entering my building last night without proper identification; I'm concerned they might have bypassed our usual protocols.,office security and visitor management,,,,
inquiry,Conference Room Booking Error,"I'm reaching out because there's clearly been a mistake regarding my booking on April 5th; I requested Conference Room B102 at 10 AM as per usual practice every Monday afternoon, yet I've received confirmation emails stating I'm booked into another time slot entirely—this is quite inconvenient since I'll have prior commitments there.",conference room and meeting space management,,,,
complaint,Late Parcel Delivery,My parcel arrived three business days late despite being scheduled as express delivery on April 5th. This caused significant inconvenience since I needed its contents urgently.,mail and courier services,,,,
inquiry,Blocked Office Parking,My car is stuck behind someone all night! This never happens before!,office parking and access control,,,,
complaint,Disputed Property Tax Increase,"Dear Sir/Madam, I am reaching out regarding my recent notice on increased property taxes which seems unjustified given current market conditions. My property's valuation has remained stable over several years; however, I've noticed significant hikes compared to neighboring properties within similar classifications. This sudden increase is causing financial strain as I'm already stretched thin managing other expenses related to maintaining commercial premises.",business rates and property tax disputes,,,,
complaint,Complaints About Office Air Quality,I've noticed persistent mold growth on my desk despite repeated complaints.,office building management and facilities,,,,
complaint,Confused About New Office Layout,I'm really struggling here; I can't find my desk now because they moved everything around after renovating! Can someone guide me?,office fit-out and renovation,,,,
complaint,Power Outage at Office,"Our entire floor is without power since yesterday evening! This has caused major disruptions; meetings can't proceed, computers won't start up—it's chaos!",office utilities and building services,,,,
inquiry,Disputed Property Tax Increase,Received notice of unexpected hike; believe there's been an error.,business rates and property tax disputes,,,,
complaint,Unfair Property Tax Increase,My heart is breaking because my property's value assessment has skyrocketed unfairly! I can't believe I'm being charged more than double what I've paid before!,business rates and property tax disputes,,,,
complaint,Incorrect Guest Information,"Upon arrival today at room number 305, I discovered my name listed as John Smith instead of Jane Doe on both the guestbook and hotel computer screen.",reception and front desk services,,,,
complaint,Inadequate Office Lighting,"Dear Sir/Madam, I am reaching out regarding my recent experience within the newly renovated workspace on floor three. Despite assurances provided at project commencement concerning ample natural light sources throughout work areas, I've found myself struggling due to insufficient illumination levels post-renovation completion last month. This has notably impacted productivity as tasks requiring visual precision have become more challenging under current lighting conditions.",office fit-out and renovation,,,,
complaint,Broken Elevator,My entire team is stuck on floor five because the elevator broke down again! This has happened three times now since last month; I demand immediate repair!,office building management and facilities,,,,
inquiry,Issue with shared office space,I'm really struggling here; my desk is always covered in someone else's stuff! Can I get more personal storage?,commercial property and workspace rental,,,,
complaint,Late Package Delivery,This is outrageous! My package arrived three whole weeks late despite being promised delivery within five business days. I demand immediate compensation!,mail and courier services,,,,
complaint,Lease Renewal Deadline Missed,My company is missing out on renewing its commercial space due today! We were counting on prompt processing but haven't heard back since last month.,office leasing and tenant support,,,,
inquiry,Lost Conference Call,Hey there! I just realized I've lost my conference call link while trying to connect guests at work today. It's super important because I'm coordinating several meetings back-to-back right now. Could someone assist me? Thanks!,reception and front desk services,,,,
inquiry,Neglected Office Cleaning,I've just returned after being away all weekend! My desk is covered in dust; my coffee mug has turned into a mini swamp because someone forgot to empty out last week's trash can again. This isn't what I signed up for - I'm paying top dollar every month expecting professional service here at work!,office cleaning and janitorial services,,,,
complaint,Printer Connectivity Issue,I've encountered persistent problems connecting my laptop to the shared printer on floor three since yesterday afternoon; despite multiple attempts at troubleshooting as per previous guidance.,IT and office technology support,,,,
complaint,Unauthorized Visitor Access,We have noticed several instances where unauthorized individuals were able to enter restricted areas within our premises over the last month.,office security and visitor management,,,,
complaint,Printer Connectivity Issue,"I've encountered persistent problems connecting my laptop to the network printer located on floor three since yesterday afternoon. Despite multiple attempts at troubleshooting—restarting both devices, checking cables—and consulting online forums without success, I am unable to print documents as required for today's project deadlines.",IT and office technology support,,,,
complaint,Broken Elevator,My entire team is stuck on floor five because the elevator broke down again! This has caused massive delays since yesterday!,office building management and facilities,,,,
complaint,Inadequate Wi-Fi Connectivity,I've encountered persistent slow internet speeds despite multiple attempts at troubleshooting.,shared workspace and coworking,,,,
complaint,Printer Connectivity Issue,"I've encountered persistent problems connecting my laptop via USB cable; despite multiple attempts over several weeks now, every time I try printing documents directly through Windows Print Manager, I'm met with error messages indicating failure.",IT and office technology support,,,,
complaint,Unsecured Office Entrance,My car got broken into again because there's absolutely NO SECURITY at my building's entrance!,office security and visitor management,,,,
complaint,Broken Elevator,Hey there! Our elevator has stopped working since yesterday afternoon; I'm stuck on floor five every time I try using it.,office building management and facilities,,,,
complaint,Unauthorized Building Access,I've noticed my colleagues entering the premises unannounced several times over the last month; I am concerned as there is currently sensitive work being conducted here.,office leasing and tenant support,,,,
inquiry,Elevator Malfunction,I've noticed my elevator has stopped working intermittently over the last few weeks on floors C and D; can someone look into fixing these frequent malfunctions?,office building management and facilities,,,,
complaint,Blocked Office Parking Access,My car is stuck outside my building because someone parked illegally blocking all entrances! This has happened three times now; I can't get into work on time anymore!,office parking and access control,,,,
inquiry,Wi-Fi Connectivity Issues,"I've encountered persistent problems connecting my laptop's Wi-Fi at the co-working space today; despite multiple attempts across different devices, none seem able to establish a stable connection.",shared workspace and coworking,,,,
complaint,Faulty Air Conditioning Unit,This is absolutely unacceptable! My office space has suffered without air conditioning since last Monday due to maintenance neglect on your part. I demand immediate repair service as my work environment becomes increasingly unbearable each passing hour.,commercial property and workspace rental,,,,
inquiry,Printer Connectivity Issue,I'm reaching out because my printer has suddenly stopped connecting since yesterday evening despite being on auto-connect mode all along. I've tried restarting both devices multiple times without success; I really rely heavily on printing documents daily as I'm currently working remotely.,IT and office technology support,,,,
complaint,Unrecognized Visitor Access,I'm reaching out because I've noticed several instances where visitors have entered without proper identification checks being performed last Friday afternoon at least thrice according to my logbook entries.,office security and visitor management,,,,
complaint,Printer Paper Jam,Hey there! My printer just won't stop jamming on paper every time I try to print my reports at work today. It's super annoying because I've got deadlines coming up fast. Can someone help me fix this? Thanks!,IT and office technology support,,,,
complaint,Disputed Property Tax Assessment,My property's assessed value has increased significantly without my consent; I request immediate review.,business rates and property tax disputes,,,,
inquiry,Issue with Office Space,My office space has multiple electrical outlets malfunctioning since last Monday; I've reported twice but there's still no fix.,commercial property and workspace rental,,,,
complaint,Disputed Property Tax Increase,I'm deeply concerned as my recent bill shows a significant hike; I believe there's been a mistake.,business rates and property tax disputes,,,,
complaint,Power Outage Disrupts Work,My laptop just died due to power outage; I can't continue my project without electricity! This is unacceptable as I've already paid monthly fees.,shared workspace and coworking,,,,
complaint,Inadequate Office Lighting,"I've noticed since moving into my new workspace on floor three, there's barely enough light coming through windows; I find myself straining eyes constantly throughout work hours.",office fit-out and renovation,,,,
complaint,Disputed Property Tax Increase,My landlord just sent me notice claiming my rent will skyrocket due to increased taxes! This is outrageous; I've never seen such steep hikes before. I can't afford these sudden costs without compromising on essentials.,business rates and property tax disputes,,,,
complaint,Unrecognized Visitor Access,"Dear Security Team, I've noticed several instances where individuals without proper identification have entered my building over the last few weeks. This is concerning as I work on sensitive projects requiring confidentiality. Could someone please review access logs? Ensuring secure entry points would greatly enhance trust among employees. Thank you for addressing this matter promptly.",office security and visitor management,,,,
complaint,Conference Room Booking Chaos,Seriously? I booked my team’s weekly strategy session last Friday at Conference Hall B because everyone said you'd sorted out those double-booking snafus! Well guess what - someone else's project got shoved into mine too?! Now I'm stuck trying to reschedule while they play musical chairs!,conference room and meeting space management,,,,
complaint,Broken Elevator,"Oh great, just what I needed today - another broken elevator! Because who doesn't love spending half an hour on stairs? Maybe next time we'll all start living at ground level.",office building management and facilities,,,,
complaint,Broken Elevator,I've noticed my elevator has stopped working since yesterday; can someone look into fixing it as soon as possible?,office building management and facilities,,,,
inquiry,Issue with shared office space,"I'm reaching out because there's ongoing noise disruption coming from adjacent units which is affecting my team's productivity significantly. Despite previous discussions on quiet hours policy adherence, these disturbances persist daily into late afternoons.",commercial property and workspace rental,,,,
complaint,Improper Ventilation Concerns,"Dear Office Safety Team, I've noticed several employees have expressed discomfort due to inadequate ventilation within my workspace over recent weeks. This is particularly concerning as prolonged exposure can lead to respiratory problems among staff members who spend most of their time here. Could someone please investigate if there might be room for improvement? Ensuring proper air quality standards will greatly benefit everyone’s wellbeing at work.",office health and safety compliance,,,,
complaint,Lost Luggage,Hey there! I just got off my flight at 5 PM today but can't find my suitcase anywhere around here.,reception and front desk services,,,,
inquiry,Disputed Rent Payment,My landlord is refusing my last month's rent despite having paid on time every month! This isn't fair at all!,office leasing and tenant support,,,,
complaint,Inadequate Wi-Fi Connectivity,This is ridiculous! I've tried connecting multiple times today but my internet keeps dropping out every few minutes while I'm working on client projects here at Central Hub Co-working Space.,shared workspace and coworking,,,,
complaint,Unresponsive Elevator,"Hello there, I'm at floor five right now because my elevator isn't working again! It's happened three times today already; I can't even get back down without using stairs every time. This is getting really frustrating as I've got meetings scheduled below ground level too.",office utilities and building services,,,,
complaint,Unauthorized Building Access,Noticed someone entering my leased space last night at odd hours; never received prior notification.,office leasing and tenant support,,,,
complaint,Unrecognized Visitor Detected,My name is John Smith; I noticed someone unfamiliar entering my building today without proper identification.,office security and visitor management,,,,
complaint,Neglected Office Cleaning,"I've reached my breaking point! Our meeting room has turned into a disaster due to neglected cleaning over these last three weeks—papers everywhere, sticky floors, even mold spots on walls now appear because nobody bothered to clean properly!",office cleaning and janitorial services,,,,
inquiry,Unsatisfactory Office Painting,Your team painted my conference room last Friday! It's still streaky blue instead of white as promised—this is unacceptable!,office fit-out and renovation,,,,
complaint,Unfair Property Tax Increase,Your ridiculous hike on my property's taxes is unacceptable! I demand immediate review!,business rates and property tax disputes,,,,
complaint,Unauthorized vehicle entry,I've noticed several unauthorized vehicles entering my designated space on multiple occasions over the last month despite having paid monthly fees.,office parking and access control,,,,
complaint,Unresolved Check-In Issue,I've checked-in at least three times today without being greeted properly; someone needs to address how staff is handling these situations.,reception and front desk services,,,,
complaint,Complaints About Office Air Conditioning,"I'm reaching out because my air conditioning has stopped working since last Monday; despite multiple calls over the weekend, there's still silence on its repair status. This is causing significant discomfort as temperatures soar outside.",office utilities and building services,,,,
complaint,Broken Elevator,"Dear Office Management, I am reaching out regarding the broken elevator on floor five which has rendered my daily commute impossible since yesterday afternoon.",office building management and facilities,,,,
complaint,Unrecognized Visitor Access,I'm reaching out because I've noticed several instances where visitors have entered without proper identification checks being performed last Friday afternoon at least thrice according to my logbook entries.,office security and visitor management,,,,
complaint,Unauthorized Visitor Access,My badge reader is malfunctioning; unauthorized people keep entering my floor!,office security and visitor management,,,,
inquiry,Elevator Outage,Our elevator has stopped working since yesterday afternoon; can someone assist?,office building management and facilities,,,,
complaint,Lost Luggage,"Hey there! I just got back after my trip last weekend but realized I've lost all my luggage at baggage claim. It's really important stuff - clothes, toiletries... Can someone help me track down where they might have gone? Thanks!",reception and front desk services,,,,
inquiry,Complaints About Office Air Conditioning,Hey there! I've noticed my AC has stopped working since yesterday afternoon at least. It's pretty warm here now which is super uncomfortable given how busy I am today. Could someone take a look? Thanks!,office utilities and building services,,,,
complaint,Conference Room Booking Error,"Dear Support Team, I've encountered multiple instances where my scheduled booking for Conference Room B on April 5th has disappeared without notice after I confirmed via email last Monday. This is quite inconvenient as I've already informed several colleagues who were expecting me there based on these arrangements. Could someone please assist? It would also help if they can ensure such errors don't recur since I'm planning more meetings soon using similar scheduling methods. Thank you very much for understanding and addressing this matter promptly.",conference room and meeting space management,,,,
inquiry,Inadequate Parking Space,I've noticed there's barely enough room at my office's parking spot due to recent construction work nearby; can I request additional space allocation?,commercial property and workspace rental,,,,
complaint,Unattended phone calls,Every time I leave my room unattended at night; someone answers! It's terrifying!,reception and front desk services,,,,
complaint,Inadequate Office Lighting,"Dear Sir/Madam, I am reaching out regarding my recent experience at the new workspace provided on Elm Street. Unfortunately, I've found myself struggling due to inadequate lighting conditions which have made reading documents quite challenging throughout various times of the workday. This is particularly problematic as most tasks require attention to detail under natural light settings; however, current fixtures do little to compensate once daylight fades away. Could there possibly be room for improvement here? Your prompt assistance would greatly enhance productivity.",office fit-out and renovation,,,,
inquiry,Confused About Parking Spot,Hello there! I'm really scratching my head over here because I can't seem to find where I've parked today at work. My usual spot is taken but none of these new ones look right either—it's all so confusing now. Can someone guide me on how to get back into what feels familiar? Thanks!,office parking and access control,,,,
inquiry,Printer Connectivity Issue,Our HP OfficeJet Pro printer has suddenly stopped connecting via Wi-Fi since yesterday afternoon; all other devices on the network function normally.,IT and office technology support,,,,
complaint,Printer Connectivity Issue,My laptop's connection to the network printer is intermittent; sometimes I can print but often there's just silence.,IT and office technology support,,,,
complaint,Broken Elevator,Your broken elevator is unacceptable! I demand immediate repair!,commercial property and workspace rental,,,,
inquiry,Confused About Property Tax Bill,I'm really puzzled because my recent bill seems higher than usual despite making improvements last year; can someone clarify why?,business rates and property tax disputes,,,,
inquiry,Delayed Package Tracking,I'm reaching out because my package tracking information hasn't updated since yesterday despite being sent over three weeks ago via express delivery.,mail and courier services,,,,
inquiry,Printer Paper Jam,Hey there! My printer just jammed again while printing my reports today.,IT and office technology support,,,,
inquiry,Broken Elevator,My entire team is stuck on floor five because the elevator broke down again! This has happened three times already!,office building management and facilities,,,,
inquiry,Shared Kitchen Maintenance Issue,I've noticed several hygiene problems around the communal kitchen over the last few weeks; there's mold on surfaces and trash isn't regularly picked up. This is affecting my work environment negatively.,office leasing and tenant support,,,,
complaint,Ignored Maintenance Request,This is absolutely unacceptable! I've reported multiple times over the last month regarding faulty plumbing under my desk which has now caused water damage on several important documents I can't afford to lose. Your so-called prompt service promised immediate attention but here I'm still waiting since January without even basic repairs being done!,office leasing and tenant support,,,,
inquiry,Printer connectivity failure,"Hello, I'm having trouble connecting my printer via Wi-Fi at work today; I've tried restarting both devices but still can't get anything printed out.",IT and office technology support,,,,
inquiry,Unhelpful Receptionist,"Oh great, another round at being ignored! I asked my usual question three times today because apparently asking once isn't enough these days? Or maybe I'm just too loud on purpose now?",reception and front desk services,,,,
complaint,Elevator Malfunction,"Dear Office Building Management, I am reaching out regarding persistent elevator malfunctions on floor seven which have caused significant inconvenience over the last three weeks.",office building management and facilities,,,,
inquiry,Printer malfunctioning,This is absolutely ridiculous! My printer has stopped working out of nowhere today while I'm printing important documents needed immediately at work. I can't believe you're asking me how long I've used my computer because clearly you've never faced such urgent situations before. Fix this now!,IT and office technology support,,,,
complaint,Inadequate Fire Extinguishers,I've noticed several fire extinguishers missing tags at my desk; they seem outdated.,office health and safety compliance,,,,
complaint,Disputed Property Tax Assessment,My property's assessed value has increased significantly without my consent; I request immediate review.,business rates and property tax disputes,,,,
inquiry,Disputed Property Tax Increase,My landlord just sent me notice claiming my rent has gone up due to increased taxes! I don't recall agreeing to such changes; can someone clarify? This is causing financial strain as I'm already stretched thin.,business rates and property tax disputes,,,,
