ticket_id,ticket_type,ticket_details,issue_category,business_impact,safety_concern
cx02837,Complaint,"We are writing to bring this to your attention. During our regular operations, we identified that the server room overheating persists within our premises. The issue seems more noticeable during peak hours. This has started to affect our daily workflow and coordination. Kindly review and advise on the next steps.",server room overheating,medium,True
cx00079,Complaint,"For some time now, it has become apparent that the noise disturbance persists within our premises. While this has caused minor inconvenience, operations are still ongoing. We would appreciate your assistance in resolving this matter.",noise disturbance,low,False
cx02899,Complaint,"For some time now, it has become apparent that the security concern persists within our premises. It is not isolated to a single occurrence. We are currently unable to continue normal business activities. We look forward to your support in resolving this.",security concern,high,True
cx03140,Inquiry,We would like clarification regarding service agreement details. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,service agreement details,,
cx00298,Complaint,"We hope you are doing well. Over the past few days, we have observed that the cleaning deficiency persists within our premises. This appears to be affecting multiple areas within the unit. This has started to affect our daily workflow and coordination. We look forward to your support in resolving this.",cleaning deficiency,medium,False
cx03242,Inquiry,"Hello, We would like clarification regarding visitor pass issuance. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",visitor pass issuance,,
cx00850,Complaint,"Hello, During our regular operations, we identified that the water leakage persists within our premises. This appears to be affecting multiple areas within the unit. We are currently unable to continue normal business activities. We trust this can be addressed promptly.",water leakage,high,False
cx00776,Complaint,"Good afternoon, For some time now, it has become apparent that the lighting failure persists within our premises. This appears to be affecting multiple areas within the unit. There have been delays in routine activities. We trust this can be addressed promptly.",lighting failure,medium,False
cx03347,Inquiry,"Hello, We would like clarification regarding facility reservation. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",facility reservation,,
cx00739,Complaint,"We are writing to bring this to your attention. During our regular operations, we identified that the billing discrepancy persists within our premises. This appears to be affecting multiple areas within the unit. This has started to affect our daily workflow and coordination. We would appreciate your assistance in resolving this matter.",billing discrepancy,medium,True
cx03901,Inquiry,"Hello, We would like clarification regarding compliance procedures. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",compliance procedures,,
cx01955,Complaint,"Good afternoon, For some time now, it has become apparent that the staff conduct issue persists within our premises. This appears to be affecting multiple areas within the unit. The disruption remains limited at this stage. We would appreciate your assistance in resolving this matter.",staff conduct issue,low,False
cx00226,Complaint,"We hope you are doing well. For some time now, it has become apparent that the security concern persists within our premises. The issue seems more noticeable during peak hours. This has started to affect our daily workflow and coordination. We trust this can be addressed promptly.",security concern,medium,False
cx00803,Complaint,"Recently, our team noticed that the power instability persists within our premises. The issue seems more noticeable during peak hours. While this has caused minor inconvenience, operations are still ongoing. Kindly review and advise on the next steps.",power instability,low,False
cx04428,Inquiry,We would like clarification regarding signage approval guidelines. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,signage approval guidelines,,
cx00418,Complaint,"Hello, Over the past few days, we have observed that the water leakage persists within our premises. The condition has not resolved despite initial adjustments. Operational efficiency has been noticeably impacted. Kindly review and advise on the next steps.",water leakage,medium,False
cx00563,Complaint,"We are writing to bring this to your attention. For some time now, it has become apparent that the delivery delay persists within our premises. This appears to be affecting multiple areas within the unit. The impact has been manageable so far. We trust this can be addressed promptly.",delivery delay,low,False
cx02794,Complaint,"Over the past few days, we have observed that the fire alarm fault persists within our premises. The issue seems more noticeable during peak hours. Operational efficiency has been noticeably impacted. We trust this can be addressed promptly.",fire alarm fault,medium,False
cx03808,Inquiry,"Good afternoon, We would like clarification regarding storage usage rules. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",storage usage rules,,
cx03891,Inquiry,We hope you are doing well. We would like clarification regarding renovation approval process. Kindly advise us on the appropriate steps moving forward.,renovation approval process,,
cx00400,Complaint,"We are writing to bring this to your attention. For some time now, it has become apparent that the fire alarm fault persists within our premises. As a result, our operations have come to a halt. Kindly review and advise on the next steps.",fire alarm fault,high,False
cx03039,Inquiry,"Good afternoon, We would like clarification regarding lease renewal terms. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",lease renewal terms,,
cx01759,Complaint,"We are writing to bring this to your attention. Recently, our team noticed that the delivery delay persists within our premises. As a result, our operations have come to a halt. Kindly review and advise on the next steps.",delivery delay,high,False
cx00801,Complaint,"Hello, For some time now, it has become apparent that the fire alarm fault persists within our premises. This has severely disrupted our operational continuity. We trust this can be addressed promptly.",fire alarm fault,high,False
cx00663,Complaint,"Recently, our team noticed that the fire alarm fault persists within our premises. It is not isolated to a single occurrence. While this has caused minor inconvenience, operations are still ongoing. Kindly review and advise on the next steps.",fire alarm fault,low,True
cx01564,Complaint,"Good afternoon, Over the past few days, we have observed that the server room overheating persists within our premises. We are currently unable to continue normal business activities. We would appreciate your assistance in resolving this matter.",server room overheating,high,False
cx02540,Complaint,"During our regular operations, we identified that the maintenance backlog persists within our premises. This appears to be affecting multiple areas within the unit. The impact has been manageable so far. We would appreciate your assistance in resolving this matter.",maintenance backlog,low,True
cx04938,Inquiry,We are writing to bring this to your attention. We would like clarification regarding invoice clarification. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,invoice clarification,,
cx00843,Complaint,"Hello, Recently, our team noticed that the maintenance backlog persists within our premises. The disruption remains limited at this stage. We trust this can be addressed promptly.",maintenance backlog,low,False
cx03324,Inquiry,We hope you are doing well. We would like clarification regarding internet provider policies. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,internet provider policies,,
cx04356,Inquiry,"Hello, We would like clarification regarding inspection timeline. Kindly advise us on the appropriate steps moving forward.",inspection timeline,,
cx01011,Complaint,"Hello, Over the past few days, we have observed that the hvac system malfunction persists within our premises. It is not isolated to a single occurrence. This has started to affect our daily workflow and coordination. We trust this can be addressed promptly.",HVAC system malfunction,medium,True
cx03170,Inquiry,"Hello, We would like clarification regarding parking regulations. Kindly advise us on the appropriate steps moving forward.",parking regulations,,
cx00305,Complaint,"We are writing to bring this to your attention. During our regular operations, we identified that the server room overheating persists within our premises. The condition has not resolved despite initial adjustments. While this has caused minor inconvenience, operations are still ongoing. Kindly review and advise on the next steps.",server room overheating,low,False
cx02145,Complaint,"We hope you are doing well. Over the past few days, we have observed that the loading dock obstruction persists within our premises. This has started to affect our daily workflow and coordination. We look forward to your support in resolving this.",loading dock obstruction,medium,False
cx00178,Complaint,"We hope you are doing well. During our regular operations, we identified that the staff conduct issue persists within our premises. This appears to be affecting multiple areas within the unit. This has severely disrupted our operational continuity. We would appreciate your assistance in resolving this matter.",staff conduct issue,high,False
cx02647,Complaint,"Recently, our team noticed that the maintenance backlog persists within our premises. The impact has been manageable so far. We look forward to your support in resolving this.",maintenance backlog,low,False
cx01166,Complaint,"We are writing to bring this to your attention. Recently, our team noticed that the elevator outage persists within our premises. As a result, our operations have come to a halt. We would appreciate your assistance in resolving this matter.",elevator outage,high,False
cx03023,Inquiry,We hope you are doing well. We would like clarification regarding utility activation process. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,utility activation process,,
cx02708,Complaint,"We hope you are doing well. During our regular operations, we identified that the loading dock obstruction persists within our premises. It is not isolated to a single occurrence. While this has caused minor inconvenience, operations are still ongoing. We trust this can be addressed promptly.",loading dock obstruction,low,False
cx03146,Inquiry,We are writing to bring this to your attention. We would like clarification regarding internet provider policies. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,internet provider policies,,
cx03829,Inquiry,We would like clarification regarding coverage limitations. Kindly advise us on the appropriate steps moving forward.,coverage limitations,,
cx02608,Complaint,"Hello, Recently, our team noticed that the billing discrepancy persists within our premises. It is not isolated to a single occurrence. As a result, our operations have come to a halt. Kindly review and advise on the next steps.",billing discrepancy,high,True
cx00077,Complaint,"For some time now, it has become apparent that the internet disruption persists within our premises. It is not isolated to a single occurrence. As a result, our operations have come to a halt. We trust this can be addressed promptly.",internet disruption,high,True
cx01472,Complaint,"During our regular operations, we identified that the hvac system malfunction persists within our premises. We are currently unable to continue normal business activities. We look forward to your support in resolving this.",HVAC system malfunction,high,False
cx00437,Complaint,"We are writing to bring this to your attention. Recently, our team noticed that the loading dock obstruction persists within our premises. The condition has not resolved despite initial adjustments. The impact has been manageable so far. We look forward to your support in resolving this.",loading dock obstruction,low,False
cx00162,Complaint,"We hope you are doing well. During our regular operations, we identified that the elevator outage persists within our premises. This appears to be affecting multiple areas within the unit. This has started to affect our daily workflow and coordination. We look forward to your support in resolving this.",elevator outage,medium,False
cx04950,Inquiry,We hope you are doing well. We would like clarification regarding signage approval guidelines. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,signage approval guidelines,,
cx00368,Complaint,"We hope you are doing well. Over the past few days, we have observed that the billing discrepancy persists within our premises. It is not isolated to a single occurrence. There have been delays in routine activities. We trust this can be addressed promptly.",billing discrepancy,medium,True
cx00030,Complaint,"Hello, Over the past few days, we have observed that the maintenance backlog persists within our premises. This appears to be affecting multiple areas within the unit. Operational efficiency has been noticeably impacted. Kindly review and advise on the next steps.",maintenance backlog,medium,False
cx03192,Inquiry,We would like clarification regarding internet provider policies. Kindly advise us on the appropriate steps moving forward.,internet provider policies,,
cx00701,Complaint,"Hello, Recently, our team noticed that the internet disruption persists within our premises. This appears to be affecting multiple areas within the unit. This has severely disrupted our operational continuity. We look forward to your support in resolving this.",internet disruption,high,True
cx03670,Inquiry,We are writing to bring this to your attention. We would like clarification regarding accepted payment methods. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,accepted payment methods,,
cx03410,Inquiry,We would like clarification regarding lease renewal terms. Kindly advise us on the appropriate steps moving forward.,lease renewal terms,,
cx01440,Complaint,"During our regular operations, we identified that the parking allocation issue persists within our premises. It is not isolated to a single occurrence. The impact has been manageable so far. We look forward to your support in resolving this.",parking allocation issue,low,False
cx00636,Complaint,"We hope you are doing well. For some time now, it has become apparent that the hvac system malfunction persists within our premises. This appears to be affecting multiple areas within the unit. As a result, our operations have come to a halt. Kindly review and advise on the next steps.",HVAC system malfunction,high,False
cx02528,Complaint,"During our regular operations, we identified that the power instability persists within our premises. This appears to be affecting multiple areas within the unit. While this has caused minor inconvenience, operations are still ongoing. We trust this can be addressed promptly.",power instability,low,False
cx03830,Inquiry,We would like clarification regarding invoice clarification. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,invoice clarification,,
cx00585,Complaint,"Good afternoon, For some time now, it has become apparent that the hvac system malfunction persists within our premises. The condition has not resolved despite initial adjustments. This has started to affect our daily workflow and coordination. Kindly review and advise on the next steps.",HVAC system malfunction,medium,False
cx04755,Inquiry,"Good afternoon, We would like clarification regarding accepted payment methods. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",accepted payment methods,,
cx03870,Inquiry,We are writing to bring this to your attention. We would like clarification regarding visitor pass issuance. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,visitor pass issuance,,
cx04025,Inquiry,We are writing to bring this to your attention. We would like clarification regarding facility reservation. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,facility reservation,,
cx00458,Complaint,"We hope you are doing well. Recently, our team noticed that the elevator outage persists within our premises. The condition has not resolved despite initial adjustments. We are currently unable to continue normal business activities. We would appreciate your assistance in resolving this matter.",elevator outage,high,False
cx02853,Complaint,"Good afternoon, During our regular operations, we identified that the elevator outage persists within our premises. This appears to be affecting multiple areas within the unit. The impact has been manageable so far. Kindly review and advise on the next steps.",elevator outage,low,False
cx04875,Inquiry,We hope you are doing well. We would like clarification regarding renovation approval process. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,renovation approval process,,
cx02689,Complaint,"Good afternoon, Recently, our team noticed that the fire alarm fault persists within our premises. As a result, our operations have come to a halt. We trust this can be addressed promptly.",fire alarm fault,high,True
cx00060,Complaint,"Hello, Recently, our team noticed that the internet disruption persists within our premises. The condition has not resolved despite initial adjustments. The disruption remains limited at this stage. We look forward to your support in resolving this.",internet disruption,low,False
cx01232,Complaint,"Good afternoon, For some time now, it has become apparent that the hvac system malfunction persists within our premises. It is not isolated to a single occurrence. This has severely disrupted our operational continuity. We trust this can be addressed promptly.",HVAC system malfunction,high,False
cx03468,Inquiry,We are writing to bring this to your attention. We would like clarification regarding internet provider policies. Kindly advise us on the appropriate steps moving forward.,internet provider policies,,
cx00248,Complaint,"We hope you are doing well. During our regular operations, we identified that the parking allocation issue persists within our premises. This has started to affect our daily workflow and coordination. Kindly review and advise on the next steps.",parking allocation issue,medium,False
cx04503,Inquiry,"Hello, We would like clarification regarding internet provider policies. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",internet provider policies,,
cx00194,Complaint,"We hope you are doing well. During our regular operations, we identified that the noise disturbance persists within our premises. The issue seems more noticeable during peak hours. The disruption remains limited at this stage. Kindly review and advise on the next steps.",noise disturbance,low,False
cx00204,Complaint,"We hope you are doing well. During our regular operations, we identified that the fire alarm fault persists within our premises. This appears to be affecting multiple areas within the unit. There have been delays in routine activities. Kindly review and advise on the next steps.",fire alarm fault,medium,False
cx03932,Inquiry,"Hello, We would like clarification regarding coverage limitations. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",coverage limitations,,
cx01016,Complaint,"Recently, our team noticed that the staff conduct issue persists within our premises. This appears to be affecting multiple areas within the unit. While this has caused minor inconvenience, operations are still ongoing. We look forward to your support in resolving this.",staff conduct issue,low,False
cx01450,Complaint,"Recently, our team noticed that the staff conduct issue persists within our premises. There have been delays in routine activities. We trust this can be addressed promptly.",staff conduct issue,medium,False
cx00617,Complaint,"We hope you are doing well. During our regular operations, we identified that the server room overheating persists within our premises. It is not isolated to a single occurrence. As a result, our operations have come to a halt. We look forward to your support in resolving this.",server room overheating,high,False
cx00970,Complaint,"Hello, Recently, our team noticed that the hvac system malfunction persists within our premises. The issue seems more noticeable during peak hours. While this has caused minor inconvenience, operations are still ongoing. We trust this can be addressed promptly.",HVAC system malfunction,low,False
cx04934,Inquiry,"Hello, We would like clarification regarding compliance procedures. Kindly advise us on the appropriate steps moving forward.",compliance procedures,,
cx01410,Complaint,"For some time now, it has become apparent that the cleaning deficiency persists within our premises. While this has caused minor inconvenience, operations are still ongoing. We look forward to your support in resolving this.",cleaning deficiency,low,False
cx04459,Inquiry,"Good afternoon, We would like clarification regarding compliance procedures. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",compliance procedures,,
cx01783,Complaint,"Hello, For some time now, it has become apparent that the loading dock obstruction persists within our premises. It is not isolated to a single occurrence. There have been delays in routine activities. Kindly review and advise on the next steps.",loading dock obstruction,medium,True
cx03771,Inquiry,We are writing to bring this to your attention. We would like clarification regarding compliance procedures. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,compliance procedures,,
cx02526,Complaint,"We are writing to bring this to your attention. For some time now, it has become apparent that the noise disturbance persists within our premises. The condition has not resolved despite initial adjustments. While this has caused minor inconvenience, operations are still ongoing. We trust this can be addressed promptly.",noise disturbance,low,False
cx01916,Complaint,"We are writing to bring this to your attention. Recently, our team noticed that the internet disruption persists within our premises. This appears to be affecting multiple areas within the unit. We are currently unable to continue normal business activities. We would appreciate your assistance in resolving this matter.",internet disruption,high,True
cx00121,Complaint,"We are writing to bring this to your attention. For some time now, it has become apparent that the fire alarm fault persists within our premises. This appears to be affecting multiple areas within the unit. The impact has been manageable so far. We would appreciate your assistance in resolving this matter.",fire alarm fault,low,False
cx04729,Inquiry,We would like clarification regarding invoice clarification. Kindly advise us on the appropriate steps moving forward.,invoice clarification,,
cx04862,Inquiry,We hope you are doing well. We would like clarification regarding internet provider policies. Kindly advise us on the appropriate steps moving forward.,internet provider policies,,
cx02384,Complaint,"We hope you are doing well. During our regular operations, we identified that the security concern persists within our premises. The issue seems more noticeable during peak hours. This has started to affect our daily workflow and coordination. Kindly review and advise on the next steps.",security concern,medium,False
cx02107,Complaint,"Good afternoon, Over the past few days, we have observed that the security concern persists within our premises. It is not isolated to a single occurrence. The disruption remains limited at this stage. We trust this can be addressed promptly.",security concern,low,False
cx00652,Complaint,"We are writing to bring this to your attention. Recently, our team noticed that the internet disruption persists within our premises. The issue seems more noticeable during peak hours. This has severely disrupted our operational continuity. Kindly review and advise on the next steps.",internet disruption,high,True
cx00357,Complaint,"During our regular operations, we identified that the server room overheating persists within our premises. Operational efficiency has been noticeably impacted. We look forward to your support in resolving this.",server room overheating,medium,False
cx00417,Complaint,"We hope you are doing well. Over the past few days, we have observed that the billing discrepancy persists within our premises. The condition has not resolved despite initial adjustments. Operational efficiency has been noticeably impacted. We look forward to your support in resolving this.",billing discrepancy,medium,False
cx01862,Complaint,"During our regular operations, we identified that the staff conduct issue persists within our premises. This appears to be affecting multiple areas within the unit. This has started to affect our daily workflow and coordination. We trust this can be addressed promptly.",staff conduct issue,medium,True
cx00412,Complaint,"Hello, For some time now, it has become apparent that the loading dock obstruction persists within our premises. It is not isolated to a single occurrence. While this has caused minor inconvenience, operations are still ongoing. We trust this can be addressed promptly.",loading dock obstruction,low,False
cx00683,Complaint,"Over the past few days, we have observed that the unauthorized entry persists within our premises. The issue seems more noticeable during peak hours. This has started to affect our daily workflow and coordination. Kindly review and advise on the next steps.",unauthorized entry,medium,False
cx01534,Complaint,"Good afternoon, Recently, our team noticed that the plumbing blockage persists within our premises. The issue seems more noticeable during peak hours. This has started to affect our daily workflow and coordination. We would appreciate your assistance in resolving this matter.",plumbing blockage,medium,False
cx01473,Complaint,"During our regular operations, we identified that the loading dock obstruction persists within our premises. This appears to be affecting multiple areas within the unit. We are currently unable to continue normal business activities. We trust this can be addressed promptly.",loading dock obstruction,high,False
cx03471,Inquiry,We would like clarification regarding parking regulations. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,parking regulations,,
cx00361,Complaint,"Over the past few days, we have observed that the security concern persists within our premises. This appears to be affecting multiple areas within the unit. This has started to affect our daily workflow and coordination. We trust this can be addressed promptly.",security concern,medium,True
cx01648,Complaint,"Hello, Over the past few days, we have observed that the staff conduct issue persists within our premises. The condition has not resolved despite initial adjustments. The disruption remains limited at this stage. Kindly review and advise on the next steps.",staff conduct issue,low,False
cx00197,Complaint,"We are writing to bring this to your attention. Over the past few days, we have observed that the maintenance backlog persists within our premises. This appears to be affecting multiple areas within the unit. The impact has been manageable so far. We look forward to your support in resolving this.",maintenance backlog,low,True
cx02892,Complaint,"We hope you are doing well. Recently, our team noticed that the parking allocation issue persists within our premises. The impact has been manageable so far. Kindly review and advise on the next steps.",parking allocation issue,low,False
cx00689,Complaint,"Hello, Recently, our team noticed that the cleaning deficiency persists within our premises. The condition has not resolved despite initial adjustments. While this has caused minor inconvenience, operations are still ongoing. Kindly review and advise on the next steps.",cleaning deficiency,low,True
cx04602,Inquiry,"Good afternoon, We would like clarification regarding invoice clarification. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",invoice clarification,,
cx01704,Complaint,"Hello, Over the past few days, we have observed that the fire alarm fault persists within our premises. This appears to be affecting multiple areas within the unit. While this has caused minor inconvenience, operations are still ongoing. We trust this can be addressed promptly.",fire alarm fault,low,True
cx00507,Complaint,"We are writing to bring this to your attention. For some time now, it has become apparent that the delivery delay persists within our premises. This appears to be affecting multiple areas within the unit. This has started to affect our daily workflow and coordination. We would appreciate your assistance in resolving this matter.",delivery delay,medium,False
cx01270,Complaint,"Good afternoon, For some time now, it has become apparent that the noise disturbance persists within our premises. The condition has not resolved despite initial adjustments. While this has caused minor inconvenience, operations are still ongoing. We would appreciate your assistance in resolving this matter.",noise disturbance,low,False
cx01953,Complaint,"During our regular operations, we identified that the noise disturbance persists within our premises. We are currently unable to continue normal business activities. We would appreciate your assistance in resolving this matter.",noise disturbance,high,False
cx03744,Inquiry,"Good afternoon, We would like clarification regarding signage approval guidelines. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",signage approval guidelines,,
cx04178,Inquiry,"Good afternoon, We would like clarification regarding utility activation process. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",utility activation process,,
cx01952,Complaint,"Good afternoon, During our regular operations, we identified that the lighting failure persists within our premises. This has started to affect our daily workflow and coordination. We would appreciate your assistance in resolving this matter.",lighting failure,medium,False
cx04794,Inquiry,We hope you are doing well. We would like clarification regarding operating schedule. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,operating schedule,,
cx02752,Complaint,"We hope you are doing well. During our regular operations, we identified that the fire alarm fault persists within our premises. It is not isolated to a single occurrence. We are currently unable to continue normal business activities. Kindly review and advise on the next steps.",fire alarm fault,high,False
cx01127,Complaint,"We are writing to bring this to your attention. During our regular operations, we identified that the lighting failure persists within our premises. There have been delays in routine activities. We trust this can be addressed promptly.",lighting failure,medium,False
cx01907,Complaint,"We are writing to bring this to your attention. Over the past few days, we have observed that the hvac system malfunction persists within our premises. This has severely disrupted our operational continuity. We would appreciate your assistance in resolving this matter.",HVAC system malfunction,high,False
cx01654,Complaint,"We hope you are doing well. For some time now, it has become apparent that the internet disruption persists within our premises. This appears to be affecting multiple areas within the unit. We are currently unable to continue normal business activities. We would appreciate your assistance in resolving this matter.",internet disruption,high,True
cx00534,Complaint,"We are writing to bring this to your attention. Recently, our team noticed that the maintenance backlog persists within our premises. The disruption remains limited at this stage. Kindly review and advise on the next steps.",maintenance backlog,low,False
cx03270,Inquiry,We are writing to bring this to your attention. We would like clarification regarding utility activation process. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,utility activation process,,
cx01791,Complaint,"We are writing to bring this to your attention. Over the past few days, we have observed that the parking allocation issue persists within our premises. It is not isolated to a single occurrence. The disruption remains limited at this stage. Kindly review and advise on the next steps.",parking allocation issue,low,False
cx01641,Complaint,"For some time now, it has become apparent that the lighting failure persists within our premises. There have been delays in routine activities. We look forward to your support in resolving this.",lighting failure,medium,False
cx01081,Complaint,"We hope you are doing well. For some time now, it has become apparent that the unauthorized entry persists within our premises. We are currently unable to continue normal business activities. We look forward to your support in resolving this.",unauthorized entry,high,False
cx00283,Complaint,"We hope you are doing well. Over the past few days, we have observed that the server room overheating persists within our premises. This appears to be affecting multiple areas within the unit. There have been delays in routine activities. Kindly review and advise on the next steps.",server room overheating,medium,False
cx04825,Inquiry,We are writing to bring this to your attention. We would like clarification regarding renovation approval process. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,renovation approval process,,
cx01239,Complaint,"Hello, Recently, our team noticed that the security concern persists within our premises. This has severely disrupted our operational continuity. We trust this can be addressed promptly.",security concern,high,False
cx03941,Inquiry,We would like clarification regarding compliance procedures. Kindly advise us on the appropriate steps moving forward.,compliance procedures,,
cx01769,Complaint,"We are writing to bring this to your attention. For some time now, it has become apparent that the parking allocation issue persists within our premises. The issue seems more noticeable during peak hours. Operational efficiency has been noticeably impacted. We look forward to your support in resolving this.",parking allocation issue,medium,False
cx01934,Complaint,"We are writing to bring this to your attention. For some time now, it has become apparent that the plumbing blockage persists within our premises. The condition has not resolved despite initial adjustments. The impact has been manageable so far. We trust this can be addressed promptly.",plumbing blockage,low,False
cx00359,Complaint,"Hello, Recently, our team noticed that the billing discrepancy persists within our premises. We are currently unable to continue normal business activities. We look forward to your support in resolving this.",billing discrepancy,high,False
cx02349,Complaint,"We are writing to bring this to your attention. Over the past few days, we have observed that the plumbing blockage persists within our premises. It is not isolated to a single occurrence. Operational efficiency has been noticeably impacted. We would appreciate your assistance in resolving this matter.",plumbing blockage,medium,False
cx01403,Complaint,"We hope you are doing well. During our regular operations, we identified that the server room overheating persists within our premises. While this has caused minor inconvenience, operations are still ongoing. We would appreciate your assistance in resolving this matter.",server room overheating,low,False
cx04538,Inquiry,"Hello, We would like clarification regarding invoice clarification. Kindly advise us on the appropriate steps moving forward.",invoice clarification,,
cx04084,Inquiry,"Hello, We would like clarification regarding accepted payment methods. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",accepted payment methods,,
cx03839,Inquiry,We would like clarification regarding internet provider policies. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.,internet provider policies,,
cx00835,Complaint,"We are writing to bring this to your attention. Over the past few days, we have observed that the internet disruption persists within our premises. The issue seems more noticeable during peak hours. We are currently unable to continue normal business activities. We look forward to your support in resolving this.",internet disruption,high,True
cx02741,Complaint,"Hello, Over the past few days, we have observed that the unauthorized entry persists within our premises. It is not isolated to a single occurrence. The impact has been manageable so far. We would appreciate your assistance in resolving this matter.",unauthorized entry,low,False
cx01411,Complaint,"We hope you are doing well. During our regular operations, we identified that the delivery delay persists within our premises. The issue seems more noticeable during peak hours. The impact has been manageable so far. We trust this can be addressed promptly.",delivery delay,low,False
cx01273,Complaint,"Recently, our team noticed that the cleaning deficiency persists within our premises. This has started to affect our daily workflow and coordination. We look forward to your support in resolving this.",cleaning deficiency,medium,True
cx00366,Complaint,"Good afternoon, During our regular operations, we identified that the parking allocation issue persists within our premises. The issue seems more noticeable during peak hours. This has started to affect our daily workflow and coordination. We would appreciate your assistance in resolving this matter.",parking allocation issue,medium,False
cx01359,Complaint,"We hope you are doing well. Recently, our team noticed that the parking allocation issue persists within our premises. The issue seems more noticeable during peak hours. As a result, our operations have come to a halt. We would appreciate your assistance in resolving this matter.",parking allocation issue,high,False
cx03706,Inquiry,"Good afternoon, We would like clarification regarding renovation approval process. This information is important for our internal planning. Kindly advise us on the appropriate steps moving forward.",renovation approval process,,
cx02929,Complaint,"We are writing to bring this to your attention. During our regular operations, we identified that the delivery delay persists within our premises. The condition has not resolved despite initial adjustments. The impact has been manageable so far. Kindly review and advise on the next steps.",delivery delay,low,True
